,job_title,job_company,job_location,job_seniority,job_category,job_employment_type,job_salary_range_from,job_salary_range_to,job_salary_type,job_details_url,job_description,job_requirements
0,Business Analyst,D2X EXPERTISE PTE. LTD.,Central,Professional,Banking and Finance,Permanent ...,"$5,000","$7,000",Monthly,https://www.mycareersfuture.sg/job/business-analyst-d2x-expertise-7f2fd4f38f4cb540d96c1a3793315130,"<p> </p><p>BUSINESS ANALYST - Wealth Management</p><p><strong>d²x Expertise Singapore</strong></p><p>WHAT IS D²X EXPERTISE?</p><p><strong>d²X Expertise is a global IT Services company dedicated to Project Management, Service Management and Contract Management operations</strong>. We provide to our customers, CxOs (CIO, CTO, COO, CEO) of multinational, or large international companies, a full range of services to secure their commitments.</p><p>Based in Singapore, Paris, Lyon, Nantes, Strasbourg, Geneva and Montreal, our consultants have both a strong experience and the right soft skills to steer and manage multi-level projects and complex IT projects.</p><p>-      Project Management: PM in infrastructure, solution, application, IT Project Office set-up, Business Analyst…</p><p>-      Service Management: implement ITIL process, Service Catalog, SLA, KPI, Change Management, Service Delivery Management, Outsourcing Contract Management)</p><p>-      Contract management: Transition Manager, Relationship Manager, Contract Manager,..<br>  </p><p>We are serving key accounts across Asia &amp; Europe in multiple industries including Services, Manufacturing, Financial Services, Transportation &amp; Logistics, Telecom...</p><p>KEY ACTIVITIES</p><p>Our Business Analysts provide the interface between the business teams and the department in charge of the implementation of the project. </p><p> </p><p>Depending on the context and projects, a Business Analyst takes care of the following tasks: </p><p>·       Collecting the needs of users, </p><p>·       Assessing needs (technological, planning, human, financial), </p><p>·       Writing project documents (specifications, letter framing, …)</p><p>·       Creating the validation test plan strategy, drafting of an acceptance test plan and assuring the monitoring of the specifications </p><p>·       Being the functional support of the project</p><p>·       Training of stakeholders. </p><p>KEY SKILLS</p><p>·       Min 8 years of experience in the banking industry with significant experience as business analysis</p><p>·       Strong knowledge of Core Banking System integration is required. </p><p>·       Strong knowledge of financial products life cycle is required: Securities, Cash, FX, MM, Credit. </p><p>·       Knowledge of Olympic is considered as a strong benefit. This includes knowledge of version A and parametrisation experience. </p><p>PROFILE</p><p>Our Business Analyst consultants share a common set of experiences and expertise:</p><p>·       At least 5 years of experience as a Business Analyst and an experience in the field of identity and access management,</p><p>·        Knowledge of methodologies and techniques of business analysis (BABOK) as well as the capacity to work in a team,</p><p>·       Analytical and synthesis experiences as well as good critical thinking. </p><p>Passionate about your job, make a difference by sending your application to: rghai@d2x-expertise.com </p>","<p>KEY SKILLS</p><p>·       Min 8 years of experience in the banking industry with significant experience as business analysis</p><p>·       Strong knowledge of Core Banking System integration is required. </p><p>·       Strong knowledge of financial products life cycle is required: Securities, Cash, FX, MM, Credit. </p><p>·       Knowledge of Olympic is considered as a strong benefit. This includes knowledge of version A and parametrisation experience. </p>"
0,System Analyst (Business Analyst),WEB PROFESSIONAL HOUSE PTE LTD,South,Junior Executive,Information Technology,Contract,"$3,000","$4,500",Monthly,https://www.mycareersfuture.sg/job/system-analyst-web-professional-house-5ea2577038f58eb74313f6aa8f1feada,"<ul> 	<li>Propose and design solution to meet the business needs. Ensure a fully integrated system to meet the business needs within the stipulated timeframe and allocated resources using the Outsystems Rapid Application Development platform.</li> 	<li>Responsible for ensuring the proposed solution is aligned with the overall architecture design.</li> 	<li>Responsible for complying with the program standards, processes and technical standards defined for the project.</li> 	<li>Responsible for the design, development and implementation of all integration points and interfaces with SAP, any selected 3rd party software and other applications/systems.</li> 	<li>Run workshops; facilitate group discussions for requirement gathering, design and solutioning.</li> 	<li>Propose solutions to fulfil business requirements and recommend potential areas for streamlining.</li> 	<li>Document the business process flow using the tool identified for the project and ensure compliance of the rules and requirements.</li> 	<li>Design, document and develop programs according to functional specifications received and ensure the developed programs fulfil the business requirements.</li> 	<li>Plan, identify, define and conduct System Integration Test and User</li> 	<li>Acceptance Test to ensure the proposed solution fulfil the business requirements.</li> 	<li>Collate information required for the authorization setup.</li> 	<li>Plan and define the data migration requirements as well as oversee the successful completion of the data migration activities to enable system implementation.</li> 	<li>Plan and prepare the training materials as well as to conduct the user training.</li> 	<li>Plan and perform the cutover for the modules assigned.</li> 	<li>Ensure programs developed pass the required vulnerability assessments and code quality inspections.</li> 	<li>Deliver all project documentations defined for the projects that minimally includes design specifications, program specifications, test cases, training materials, cutover execution plan and data migration specification.</li> 	<li>Provide on-site support where necessary.</li> 	<li>Troubleshoot any problems reported before and after implementation of solution.</li> 	<li>Ensure optimal system design and configuration of the application functionality.</li> 	<li>Ensure the quality of the deliverables.</li> 	<li>Participate in any quality assurance activities and resolve any risks or areas for improvement identified.</li> 	<li>Perform risk management which includes identification; provide mitigation solutions and management for risks.</li> 	<li>Responsible for the timely preparation and reporting of progress status updates to the Project Manager and other management, which include preparation and presentation in meetings.</li> 	<li>Responsible to perform impact assessment on change requests, design and present solution to users, test and implement the solution to meet the requirements within the stipulated timeframe.</li> 	<li>Review and troubleshoot reported cases and work with the internal/external teams to develop solution that will ensure integrity of the system and meet the business needs within the stipulated timeframe.</li> 	<li>Responsible to manage and resolve all problems reported and service requests received during the maintenance phase.</li> </ul>","<ul> 	<li>The candidate should possess at least a Degree in Computer Science, Engineering or Equivalent.</li> 	<li>Minimum 2 years of IT system implementation experience.</li> 	<li>Minimum 1 year experience as Business Analyst is required.</li> 	<li>Good team player, responsible and conscientious.</li> 	<li>Ability to work independently and efficiently, managing timelines and expectations, and producing high quality deliverables (programs, documentation).</li> </ul>"
0,Business Analyst,PROTOSOFT SOLUTIONS PTE. LTD.,East,Professional,Information Technology ...,Permanent ...,"$3,000","$5,000",Monthly,https://www.mycareersfuture.sg/job/business-analyst-protosoft-solutions-d89340d96033b262a4e343b90c2c34fb,"<p>The ideal candidate is a team player who will be working closely with business and technical teams to serve as an liaison between users and developers for SCM Solution department in leading global trading company. He/She is also required to deliver business and functional specification, perform data analysis on supply chain data to identify trend and issues, as well as to make proposal for improvements.<br>  </p><p><strong>Responsibilities</strong></p><ul> 	<li>Analyzing and modeling existing business processes</li> 	<li>Creates detailed business requirement document and translate it into functional specifications</li> 	<li>Recommending changes related to implementing a new business solution</li> 	<li>Engage with stakeholders to understand and respond to their needs in rapidly changing business environments</li> 	<li>Knowledge transfer of business requirements to developers</li> 	<li>Conduct workshops and training sessions</li> 	<li>Plan and perform Integration Test and User Acceptance Test (UAT)</li> 	<li>Provides analytic support by analyzing data extraction from various databases and data interpretation.</li> 	<li>Support in planning for supply chain activities and the supply chain application systems</li> </ul>",<p><strong>Qualifications</strong></p><ul> 	<li>Diploma/Degree in Computer Science / Business IT / SCM</li> 	<li>Min. 2 years of experience working as functional or business analyst. *Fresh graduates with positive attitude and good communication and analytical skills are welcome to apply too</li> 	<li>Business analysis skills and experience in modeling business processes</li> 	<li>Good documentation skills</li> 	<li>Able to assess and validate activities and to determine if a solution has fulfilled the requirements</li> 	<li>Good analytical and problem-solving skills</li> 	<li>Client focused</li> 	<li>Able to present/propose ideas clearly (verbal and reports)</li> 	<li>Excellent communication skills (able to converse in English and Mandarin)</li> 	<li>Able to work well in small groups</li> 	<li>SCM Background an advantage</li> </ul>
0,SAP Business Analyst - CS  /  PM,AVENSYS CONSULTING PTE. LTD.,Islandwide,Professional,Information Technology,Full Time,"$6,000","$9,000",Monthly,https://www.mycareersfuture.sg/job/sap-business-analyst-cs-pm-avensys-consulting-bd83b54dbf6ab2f4a139a1842d18d63e,"<p>Optimise the use of SAP S4 HANA, Fiori functionalities for business processes with the objective of deriving meaningful and productive use of the system<br> ·        Work in co-ordination with other SAP module teams and other platforms for the effective integrated use of the system to facilitate business process automation<br> ·        Identifying and mapping end users business requirement with SAP S4 HANA, Fiori functionalities.<br> ·        Perform CS Configuration for Business solution/new setup company<br> ·        To develop functional specification based on Business requirement and be able to conduct complete testing before releasing to Business Team.<br> ·        Provide support &amp; resolution for operational queries and reported issues<br> ·        To develop and provide User training programs<br> ·        Participate in new IT projects implementation<br> ·        Ensure operations are in compliance with Group IT policies, standards and practices established<br> <br> <br>  </p>","<p>·        Diploma/Degree in Computer Science, Information Technology or relevant discipline<br> ·        Minimum 3 years’ experience in similar capacity and in the SAP CS/PM module<br> ·        Good Knowledge of CS/PM Business process<br> ·        SAP Partner Academy certified<br> ·        Good team player<br> ·        Good interpersonal and communication skills<br> <br>  </p>"
0,Business Analyst,ALLEGIS GLOBAL SOLUTIONS (SINGAPORE) PTE. LTD.,Central,Manager,Banking and Finance,Contract,"$10,000","$15,000",Monthly,https://www.mycareersfuture.sg/job/business-analyst-allegis-global-solutions-c13510294adbe7eca4df642e07e4e023,"<p><strong>Business Analyst ( 6 months contract)</strong></p><p><strong>Allegis Global Solutions is the exclusive Contingent HR services provider for one of the world’s leading banks. </strong></p><p>At Allegis Global Solutions we’re proud to be the leader in global talent solutions. We draw upon decades of industry expertise to develop innovative tools, products, processes and strategies focused on outcome. Moreover, we’re incredibly proud to have built a culture that empowers our people to make their mark while making deep connections that will last a lifetime. With our passion and culture for talent, we are truly transforming the way the World acquires talent.</p><ul> </ul>","<p>Our Client is one of the leading global wealth managers with strong investment banking and asset management capabilities. Founded in 1856, they have expanded to be a global force employing over 45,000 people in 50 countries. With new leadership, a new strategy and a streamlined global organization, they are set for growth.The current  APAC division has an open position for a strong candidate for the SG Controlling team. The team is part of APAC CFO. The team’s core responsibility is to provide insightful analytics and Financial Reporting for the APAC Division, including a range of Senior Managementstakeholders. </p><p>Their stakeholder base ranges across Private Banking, Investment banking and Capital Market. The SG Controlling team is the gatekeeper for the reporting and controlling of collaborative activities across the APAC Division, such as Policy, Governance, process reviews and MIS. We are looking for candidates with the ability to improve current processes, to interpret and apply policies, a positive attitude, and excellent communication skills</p><p>Key Responsibilities</p><ul> 	<li>Work directly with business management teams in various APAC departments to conduct a Front to Back review of the SGC process</li> 	<li>Recommend suitable outcomes upon conclusion of the review for process and control enhancements</li> 	<li>Track and monitor the progress of the project using effective MI</li> 	<li>Drive data/reporting aligned process improvement through</li> 	<li>Communicate concisely and meaningfully the outcome of the review</li> </ul><p>To be considered for this role, you must able to offer:-</p><ul> 	<li>At least 5-10 years of experience in MIS reporting, finance and budgeting.</li> 	<li>CA or Master degree in Finance, fundemental and good understanding of finance concepts</li> 	<li>Strong project management experience</li> 	<li>Proficiency in MS Excel and MS Powerpoint</li> 	<li>Excellent communication and presentation skills and ability to interface with management</li> </ul>"
0,Senior System Analyst / Team Lead (Senior Business Analst),WEB PROFESSIONAL HOUSE PTE LTD,South,Senior Executive,Information Technology,Contract,"$4,500","$7,500",Monthly,https://www.mycareersfuture.sg/job/senior-system-analyst-team-lead-web-professional-house-9acf906dc6bd5911bad5cfc4c4b4da6c,"<ul> 	<li>Propose and design solution to meet the business needs. Ensure a fully integrated system to meet the business needs within the stipulated timeframe and allocated resources using the Outsystems Rapid Application Development platform.</li> 	<li>Responsible for ensuring the proposed solution is aligned with the overall architecture design.</li> 	<li>Responsible for complying with the program standards, processes and technical standards defined for the project.</li> 	<li>Responsible for the design, development and implementation of all integration points and interfaces with SAP, any selected 3rd party software and other applications/systems.</li> 	<li>Run workshops; facilitate group discussions for requirement gathering, design and solutioning.</li> 	<li>Propose solutions to fulfil business requirements and recommend potential areas for streamlining.</li> 	<li>Document the business process flow using the tool identified for the project and ensure compliance of the rules and requirements.</li> 	<li>Design, document and develop programs according to functional specifications received and ensure the developed programs fulfil the business requirements.</li> 	<li>Plan, identify, define and conduct System Integration Test and User</li> 	<li>Acceptance Test to ensure the proposed solution fulfil the business requirements.</li> 	<li>Collate information required for the authorization setup.</li> 	<li>Plan and define the data migration requirements as well as oversee the successful completion of the data migration activities to enable system implementation.</li> 	<li>Plan and prepare the training materials as well as to conduct the user training.</li> 	<li>Plan and perform the cutover for the modules assigned.</li> 	<li>Ensure programs developed pass the required vulnerability assessments and code quality inspections.</li> 	<li>Deliver all project documentations defined for the projects that minimally includes design specifications, program specifications, test cases, training materials, cutover execution plan and data migration specification.</li> 	<li>Provide on-site support where necessary.</li> 	<li>Troubleshoot any problems reported before and after implementation of solution.</li> 	<li>Ensure optimal system design and configuration of the application functionality.</li> 	<li>Ensure the quality of the deliverables.</li> 	<li>Participate in any quality assurance activities and resolve any risks or areas for improvement identified.</li> 	<li>Perform risk management which includes identification; provide mitigation solutions and management for risks.</li> 	<li>Responsible for the timely preparation and reporting of progress status updates to the Project Manager and other management, which include preparation and presentation in meetings.</li> 	<li>Responsible to perform impact assessment on change requests, design and present solution to users, test and implement the solution to meet requirements within the stipulated timeframe.</li> 	<li>Review and troubleshoot reported cases and work with the internal/external teams to develop solution that will ensure integrity of the system and meet the business needs within the stipulated timeframe.</li> 	<li>Responsible to manage and resolve all problems reported and service requests received during the maintenance phase.</li> </ul><p> </p>","<ul> 	<li>The candidate should possess at least a Degree in Computer Science, Engineering or Equivalent.</li> 	<li>Minimum 4 years of IT system implementation experience with at least 2 full cycle implementations as a Team Lead.</li> 	<li>Minimum 2 years’ experience as Business Analyst is required.</li> 	<li>Ability to communicate and articulate clearly to seek resolution of project issues.</li> 	<li>Good team player, responsible and conscientious.</li> 	<li>Ability to work independently and efficiently, managing timelines and expectations, and producing high quality deliverables (programs, documentation).</li> </ul>"
0,Business Intelligence Analyst,YTL POWERSERAYA PTE. LIMITED,South,Professional,Information Technology,Full Time,"$4,800","$8,000",Monthly,https://www.mycareersfuture.sg/job/business-intelligence-analyst-ytl-powerseraya-a1016af31bdad29f75ff6d6d8677d3a4,"<p>A key member of the Application Management Services team within the Process &amp; Innovation Group, you will be responsible for identifying areas for business intelligence process automation and efficiency improvement, as well as developing and maintaining proper records of management policies and processes. </p><p> </p><p>You will provide business application analysis and data modelling design to collect, standardise, maintain, monitor and audit business data for effective centralized data warehouse. This entails developing and maintaining processes of automated data and using various business analytics reporting tools to create dashboards, graphs and visualization to meet both end users reporting needs and facilitate sharing of business intelligence between multiple data systems.  You will also work with internal and external stakeholders to identify, evaluate and implement services and tools to support data validation and cleansing.</p>","<ul>  <li>Degree in Electronics Engineering / Computer Science / Computer Engineering / Mathematics / Statistics / Business or equivalent</li>  <li>5 or more years of relevant experience</li>  <li>Expertise in at least two of the following:-  <ul>   <li>Scripting language such as Matlab, Python</li>   <li>Querying language such as SQL</li>   <li>Programming such as Java, XML</li>   <li>Data Visualization BI and reporting Analysis Tools – Qlikview, PowerBI</li>   <li>ETL Tools, Data Warehouses / Data Marts / Data Lakes and System databases</li>  </ul>  </li>  <li>Strong ability to understand, analyze and communicate business processes, requirements, technical designs, solutions and implementation</li>  <li>Proactive and independent team worker with excellent organizing, leadership and interpersonal skills to collaborate with various stakeholders to prepare and present business intelligence for decision making</li> </ul><p>A competitive remuneration package will be offered to the successful candidate.</p><p> </p><p>Interested applicants are invited to submit a full resume, complete with current and expected remuneration via email to:</p><p> </p><p>Human Resource Department</p><p>YTL PowerSeraya Pte. Limited</p><p>No. 1 HarbourFront Place</p><p>#17-01 HarbourFront Tower One</p><p>Singapore 098633</p><p>Email: hr@pseraya.com.sg</p><p> </p><p>(All applications will be treated with strict confidentiality and we regret that only shortlisted candidates will be notified)</p>"
0,Business Development Analyst,XYPHER PTE. LTD.,East,Manager,Others,Full Time,"$4,000","$8,000",Monthly,https://www.mycareersfuture.sg/job/business-development-analyst-xypher-3a285d8d8d5a0665e4d0a950c7cff8d2,"<p>DATAVLT is looking for a business development rockstar to join our team in Singapore.<br> <br> <strong><em>About DATAVLT</em></strong></p><p> </p><p>At DATAVLT, we’re on a mission to make life easier for our users by providing an innovative, on-demand data analytics platform integrated with blockchain to help business owners understand their data, gain insights and make sharper decisions while continuing to focus on developing their business and scaling efficiently.</p><p> </p>","<p>DATAVLT is looking for a business development rockstar to join our team in Singapore.<br> <br> <strong><em>About DATAVLT</em></strong></p><p> </p><p>At DATAVLT, we’re on a mission to make life easier for our users by providing an innovative, on-demand data analytics platform integrated with blockchain to help business owners understand their data, gain insights and make sharper decisions while continuing to focus on developing their business and scaling efficiently.</p><p><br> <strong><em>Responsibilities</em></strong><br>  </p><ul>  <li>Business development<em>:</em> Creating / managing a pipeline of potential partners; must be articulate when reaching out via phone, in person or email; must be able to support in complex negotiations and drive deal closure</li>  <li>Account management: Ensuring a smooth on-boarding experience for partners with a focus on addressing and predicting their concerns. Taking ownership for timely resolution of partners' queries and needs is a critical</li>  <li>Reporting and following up: Presenting analysis and ideas in a clear, concise manner and executing follow ups like a hawk</li>  <li>Help grow the business to become a billion dollar empire with aspirations of global domination</li> </ul><p><strong><em>Requirements</em></strong><br> <br> The ideal candidate should have</p><p> </p><p>·         Excellent communication skills</p><p>·         Strong sense of pride and ownership towards the job</p><p>·         An outgoing personality, convincing and can communicate with partners easily</p><p>·         A good ability to understand and appreciate new technologies &amp; its application<br> (AI / Blockchain)</p><p>·         Great analytical skills</p><p>·         Fluency in English and Mandarin</p><p>·         Previous track record of success with sales and business development<br>  </p><p><br> <strong>What's in it for you</strong></p><p> </p><p>Here at DATAVLT, we provide an awesome culture for growth and development:</p><ul>  <li>A unique opportunity for exponential growth &amp; experience. (How much you develop is only limited by your appetite)</li>  <li>Autonomy in the role to be creative in spotting opportunities &amp; to develop partnerships</li>  <li>Attain an in-depth understanding of the Data Analytics &amp; Blockchain</li>  <li>Open work culture</li>  <li>Attractive remuneration</li>  <li>Be yourself, be engaged and have fun while you’re at it</li> </ul>"
0,Senior System Analyst,AVENSYS CONSULTING PTE. LTD.,Islandwide,Professional,Information Technology,Full Time,"$4,000","$5,500",Monthly,https://www.mycareersfuture.sg/job/senior-system-analyst-avensys-consulting-bbd5082f785ae5bddc622dc8b508d242,"<p>4. Scope of Work for Senior System Analyst/Team Lead (Senior Business Analyst) –Only Singaporean<br> Major duties and responsibilities are listed below:<br> a. Propose and design solution to meet the business needs. Ensure a fully integrated system to meet the business needs within the stipulated timeframe and allocated resources using the Outsystems Rapid Application Development platform.<br> b. Responsible for ensuring the proposed solution is aligned with the overall architecture design.<br> c. Responsible for complying with the program standards, processes and technical standards defined for the project.<br> d. Responsible for the design, development and implementation of all integration points and interfaces with SAP, any selected 3rd party software and other applications/systems.<br> e. Perform the following key activities: Run workshops; facilitate group discussions for requirement gathering, design and solutioning. Propose solutions to fulfil business requirements and recommend potential areas for streamlining. Document the business process flow using the tool identified for the project and ensure compliance of the rules and requirements. Design, document and develop programs according to functional specifications received and ensure the developed programs fulfil the business requirements. Plan, identify, define and conduct System Integration Test and User Acceptance Test to ensure the proposed solution fulfil the business requirements. Collate information required for the authorization setup. Plan and define the data migration requirements as well as oversee the successful completion of the data migration activities to enable system implementation. Plan and prepare the training materials as well as to conduct the user training. Plan and perform the cutover for the modules assigned. Ensure programs developed pass the required vulnerability assessments and code quality inspections. Deliver all project documentations defined for the projects that minimally includes design specifications, program specifications, test cases, training materials, cutover execution plan and data migration specification. Provide on-site support where necessary. Troubleshoot any problems reported before and after implementation of solution.<br> f. Ensure optimal system design and configuration of the application functionality.<br> g. Ensure the quality of the deliverables.<br> h. Participate in any quality assurance activities and resolve any risks or areas for improvement identified.<br> i. Perform risk management which includes identification; provide mitigation solutions and management for risks.<br> j. Responsible for the timely preparation and reporting of progress status updates to the Project Manager and other management, which include preparation and presentation in meetings.<br> k. Responsible to perform impact assessment on change requests, design and present solution to users, test and implement the solution to meet requirements within the stipulated timeframe.<br> l. Review and troubleshoot reported cases and work with the internal/external teams to develop solution that will ensure integrity of the system and meet the business needs within the stipulated timeframe.<br> m. Responsible to manage and resolve all problems reported and service requests received during the maintenance phase.<br> <br>  </p>","<p>The candidate should possess at least a Degree in Computer Science, Engineering or Equivalent.<br> 2 Required Competencies<br> a. Ability to communicate and articulate clearly to seek resolution of project issues.<br> b. Good team player, responsible and conscientious.<br> c. Ability to work independently and efficiently, managing timelines and expectations, and producing high quality deliverables (programs, documentation).<br> 4.3 Required Working Experience<br> a. Minimum 4 years of IT system implementation experience with at least 2 full cycle implementations as a Team Lead.<br> b. Minimum 2 years experience as Business Analyst is required.<br> 4.4 Security Clearance Requirement<br> a. The Candidate is required to be a Singaporean and will be subjected to security clearance prior to commencement of work in the project. The Contractor shall provide all necessary information requested by the Authority to facilitate security clearance.</p><p> </p>"
0,Head (Data Architect),Accountant-General's Department,,,Accounting / Auditing / Taxation ...,Full Time,,,,https://www.mycareersfuture.sg/job/head-accountant-generals-department-cb19026c04d291f44112432e6550e2e9,"<p><strong>Head (Data Architect)</strong></p><p>To architect, design and administer the Whole-of-Government (WOG) enterprise data analytics platform (FI@Gov) for the public sector finance and internal audit community.</p><p>The key objective of the AGD-Business Analytics directorate is to transform the finance and audit processes through data analytics, and to drive a data-driven approach in decision making. This includes strengthening data analytics capabilities and competencies to strengthen governance, optimise resource management and drive productivity.</p><p>The key roles fulfilled by this job include to:</p><ul>
<li>Administer the development and maintenance of the public sector finance data warehouse and data architecture. This includes developing and implementing best practices to ensure optimal data quality, integrity, governance and system performance.</li>
<li>Drive data integration, data modelling, analytics and reporting deliverables in collaboration with business analysts and technology partners.</li>
<li>Manage large scale development and deployment of big data infrastructure and platform;</li>
<li>Review and govern design principles to ensure quality and performant design of dashboards and tools on the Business Intelligence platform powered by Microstrategy.</li>
<li>Plan and implement the data strategy and technology roadmap for the WOG finance analytics platform. This includes monitoring emerging trends of data analytics technologies, including related technologies in the area of robotics and artificial intelligence, and propose the technology roadmap for adoption and application.</li>
<li>Manage the deployment of advanced analytics applications with data pipelines integrated with the overall enterprise grade system architecture and infrastructure.</li>
<li>Manage a team of data analyst and data scientist, overseeing related projects from end-to-end, including user requirement studies, prototyping, development, testing and deployment.</li>
<li>Ensure proper documentation of the data warehouse and analytics platform, including design architecture, data schema, operations management procedures and system functional specifications.</li>
</ul><p> </p><p> </p><p><strong>Requirement</strong></p><ul>
<li>Good degree from a recognised university in computer science, computer engineering, information technology, or a related field.</li>
<li>At least 10 years of experience on enterprise data solutions and architecture</li>
<li>Competency in Microstrategy architecture is strongly preferred</li>
<li>A good understanding of big data technologies, with at least 3 years of experience in Hadoop ecosystem</li>
<li>Ability to independently architect and maintain a hybrid data platform, integrating Hadoop with SQL data warehouse</li>
<li>A good understanding of business intelligence tools and data science techniques like machine learning and text mining, with competency in open-source scripting language (e.g. R, Python) is advantageous</li>
<li>Experience in vendor management and project management is preferred</li>
<li>Team player who can work well with stakeholders from different public agencies</li>
<li>Self-motivated to learn and keeps up to date with the latest analytical technologies in the industry</li>
<li>Confident communicator, with good writing and presentation skills</li>
</ul><p>If you are shortlisted for the position, you should hear from us within 30 days of the closing date of the advertisement. </p>",
