,job_title,job_company,job_location,job_seniority,job_category,job_employment_type,job_salary_range_from,job_salary_range_to,job_salary_type,job_details_url,job_description,job_requirements
0,Business Intelligence Analyst,YTL POWERSERAYA PTE. LIMITED,South,Professional,Information Technology,Full Time,"$4,800","$8,000",Monthly,https://www.mycareersfuture.sg/job/business-intelligence-analyst-ytl-powerseraya-a1016af31bdad29f75ff6d6d8677d3a4,"<p>A key member of the Application Management Services team within the Process &amp; Innovation Group, you will be responsible for identifying areas for business intelligence process automation and efficiency improvement, as well as developing and maintaining proper records of management policies and processes. </p><p> </p><p>You will provide business application analysis and data modelling design to collect, standardise, maintain, monitor and audit business data for effective centralized data warehouse. This entails developing and maintaining processes of automated data and using various business analytics reporting tools to create dashboards, graphs and visualization to meet both end users reporting needs and facilitate sharing of business intelligence between multiple data systems.  You will also work with internal and external stakeholders to identify, evaluate and implement services and tools to support data validation and cleansing.</p>","<ul>  <li>Degree in Electronics Engineering / Computer Science / Computer Engineering / Mathematics / Statistics / Business or equivalent</li>  <li>5 or more years of relevant experience</li>  <li>Expertise in at least two of the following:-  <ul>   <li>Scripting language such as Matlab, Python</li>   <li>Querying language such as SQL</li>   <li>Programming such as Java, XML</li>   <li>Data Visualization BI and reporting Analysis Tools – Qlikview, PowerBI</li>   <li>ETL Tools, Data Warehouses / Data Marts / Data Lakes and System databases</li>  </ul>  </li>  <li>Strong ability to understand, analyze and communicate business processes, requirements, technical designs, solutions and implementation</li>  <li>Proactive and independent team worker with excellent organizing, leadership and interpersonal skills to collaborate with various stakeholders to prepare and present business intelligence for decision making</li> </ul><p>A competitive remuneration package will be offered to the successful candidate.</p><p> </p><p>Interested applicants are invited to submit a full resume, complete with current and expected remuneration via email to:</p><p> </p><p>Human Resource Department</p><p>YTL PowerSeraya Pte. Limited</p><p>No. 1 HarbourFront Place</p><p>#17-01 HarbourFront Tower One</p><p>Singapore 098633</p><p>Email: hr@pseraya.com.sg</p><p> </p><p>(All applications will be treated with strict confidentiality and we regret that only shortlisted candidates will be notified)</p>"
0,Head (Data Architect),Accountant-General's Department,,,Accounting / Auditing / Taxation ...,Full Time,,,,https://www.mycareersfuture.sg/job/head-accountant-generals-department-cb19026c04d291f44112432e6550e2e9,"<p><strong>Head (Data Architect)</strong></p><p>To architect, design and administer the Whole-of-Government (WOG) enterprise data analytics platform (FI@Gov) for the public sector finance and internal audit community.</p><p>The key objective of the AGD-Business Analytics directorate is to transform the finance and audit processes through data analytics, and to drive a data-driven approach in decision making. This includes strengthening data analytics capabilities and competencies to strengthen governance, optimise resource management and drive productivity.</p><p>The key roles fulfilled by this job include to:</p><ul>
<li>Administer the development and maintenance of the public sector finance data warehouse and data architecture. This includes developing and implementing best practices to ensure optimal data quality, integrity, governance and system performance.</li>
<li>Drive data integration, data modelling, analytics and reporting deliverables in collaboration with business analysts and technology partners.</li>
<li>Manage large scale development and deployment of big data infrastructure and platform;</li>
<li>Review and govern design principles to ensure quality and performant design of dashboards and tools on the Business Intelligence platform powered by Microstrategy.</li>
<li>Plan and implement the data strategy and technology roadmap for the WOG finance analytics platform. This includes monitoring emerging trends of data analytics technologies, including related technologies in the area of robotics and artificial intelligence, and propose the technology roadmap for adoption and application.</li>
<li>Manage the deployment of advanced analytics applications with data pipelines integrated with the overall enterprise grade system architecture and infrastructure.</li>
<li>Manage a team of data analyst and data scientist, overseeing related projects from end-to-end, including user requirement studies, prototyping, development, testing and deployment.</li>
<li>Ensure proper documentation of the data warehouse and analytics platform, including design architecture, data schema, operations management procedures and system functional specifications.</li>
</ul><p> </p><p> </p><p><strong>Requirement</strong></p><ul>
<li>Good degree from a recognised university in computer science, computer engineering, information technology, or a related field.</li>
<li>At least 10 years of experience on enterprise data solutions and architecture</li>
<li>Competency in Microstrategy architecture is strongly preferred</li>
<li>A good understanding of big data technologies, with at least 3 years of experience in Hadoop ecosystem</li>
<li>Ability to independently architect and maintain a hybrid data platform, integrating Hadoop with SQL data warehouse</li>
<li>A good understanding of business intelligence tools and data science techniques like machine learning and text mining, with competency in open-source scripting language (e.g. R, Python) is advantageous</li>
<li>Experience in vendor management and project management is preferred</li>
<li>Team player who can work well with stakeholders from different public agencies</li>
<li>Self-motivated to learn and keeps up to date with the latest analytical technologies in the industry</li>
<li>Confident communicator, with good writing and presentation skills</li>
</ul><p>If you are shortlisted for the position, you should hear from us within 30 days of the closing date of the advertisement. </p>",
0,"VICE PRESIDENT, STRATEGIC PLANNING [MNC, Marine / Maritime Industry]",VANTAGE HR SOLUTIONS,South,Senior Management ...,Risk Management ...,Permanent ...,,,,https://www.mycareersfuture.sg/job/vice-president-strategic-planning-mnc-marine-maritime-industry-vantage-hr-solutions-a252a5d354b18deeaffdb908dd602c04,"<p><strong>Vantage HR Solutions (EA LICENSE NO 10C4871) is a professional executive search consultancy company registered under the Ministry of Manpower (MOM), Singapore. The keen eye we developed over the years enabled us to make accurate assessments about jobs and candidates. We distinguish ourselves through our direct working experience as industry-specific professionals from the industries that we serve. Hence, we have the trade know-how, professional network and track record to recruit the right talents for different business needs. Whether you are seeking the best talents for your organization or looking for a dream career - Vantage HR Solutions has the edge to meet your expectations.</strong><br> <br> <strong>Visit </strong> <strong>http://vantage.com.sg/</strong> <strong> to find out more about our services and other available positions.</strong><br> <br> <strong>Our client is from a leading multi-national corp. in the Marine industry. It has established itself as an Employer of Choice due to its' global branding, drive for innovation as well as its' emphasis on human capital development.</strong><br>  </p><p><u><strong>THE ROLE:</strong></u></p><ul>  </ul><ul>   <li>The incumbent will play a leadership role with full responsibility for the strategic planning, budgeting, forecasting and analytical activities. As a global employer that is experiencing rapid growth, they are looking for a senior-level hands-on leader who has seen best practices, particularly around managing long-term and annual strategic planning processes, leveraging enterprise planning systems and forecasting.</li>   <li>The position includes developing and driving the long-term strategic planning processes, annual and quarterly budgets, financial forecasts and analyses, overseeing the development and delivery of management reporting environments, monitoring key performance indicators and driving companywide financial performance initiatives.</li>   <li>A key aspect of the position will be to partner closely with the Company’s executive and senior management to drive business insight and companywide financial results, and to provide fact-based thought leadership on key strategic and financial decisions.  </li>  </ul><p> </p><p><u><strong>Key Responsibilities:</strong></u></p><ul>   <li>Working closely with the executive team and business units to develop long-term strategic plans, annual budgets and operational analysis and reporting; providing thought leadership in the creation department level key metric dashboards</li>   <li>Leadership role in provide analytical perspectives to important strategic decisions,</li>   <li>Leading company-wide strategic planning, budget and quarterly target-setting processes, including forecasts and key performance monitoring</li>   <li>Leading the development, monitoring and reporting of key operational metrics and driving processes to improve consistent productivity and efficiency improvements</li>   <li>Playing a leadership role in the area of business intelligence, trends, competitive environment and regulatory changes of the marine industry</li>   <li>Identify, research and recommend new directions and opportunities for growth</li>   <li>Guide and review business planning and optimization of resources across the business units</li>   <li>Working with executive management to maintain 5-year long range plan that incorporates the financial impacts of Company strategies and initiatives</li>   <li>Performing ad-hoc financial analysis to support key business decisions.  </li>  </ul><p> <br> <u><strong>THE REWARDS:</strong></u><br> Short listed candidates can expect an attractive remuneration package in line with relevant experience and job knowledge, the opportunity to work for among the best in the industry and excellent prospects for personal development. Due to the size of the organization, global operations and diversity of business, this is an excellent place for horizontal and vertical career prohression and development.<br>  <br> <u><strong>OTHER INFORMATION:</strong></u></p><ul>   <li>Permanent Position</li>   <li>New headcount due to expansion</li>  </ul><p> </p>","<p><u><strong>REQUIREMENTS:</strong></u></p><ul>   <li>Degree in any discipline</li>   <li>Experience in Marine, Offshore, Engineering or related industries will be advantageous</li>   <li>At least 10 years of finance-related experience, with deep financial planning and analysis experience in a leadership role</li>   <li>Strong communication and relationship building skills at senior levels, with the ability to interpret and summarize data to aid management in achieving strategic and operational goals</li>  </ul><p> <br> <u><strong>APPLICATION:</strong></u></p><ul>   <li>Apply via jobsBank or email CV in MS Word format to: <em><strong>careers@vantage.com.sg</strong></em></li>   <li>Please include your recent photo, expected salary, last drawn salary, availability/notice period and reason for leaving past employment(s) in your CV.</li>  </ul>"
0,"Lead / Senior Systems Analyst, BI Reporting & Analytics",M1 LIMITED,West,Executive ...,Information Technology ...,Full Time,"$3,250","$6,500",Monthly,https://www.mycareersfuture.sg/job/lead-senior-systems-analyst-bi-reporting-analytics-m1-33096dd9bf528e32fc9ddddec238f877,"<ul>  <li>Support BI (Business Intelligence) and Campaign management reporting and analytics needs by working extensively with users across different departments</li>  <li>Produce visually appealing BI reporting and analytics solutions</li>  <li>Develop interactive dashboards that will enable business users to perform data exploration, gain customer insights and determine segmentation criteria for targeted campaigns</li>  <li>Provide comprehensive tracking and reporting of all campaign activities and campaign results</li>  <li>Responsible for end-to-end solution delivery - requirements gathering, conceptualization, design, development, testing, implementation and providing end-user training</li> </ul>","<ul>  <li>Degree or equivalent in Computer Science, Information Systems or a related discipline</li>  <li>Minimum 2 years’ experience in design, development and implementation of BI and analytics solutions</li>  <li>Crucial to have hands-on Tableau design and development experience, including implementing visually appealing and complex analytical dashboards that leverage on advance Tableau functionalities</li>  <li>Tableau server administration knowledge has added advantage</li>  <li>Proficient in SQL (Oracle, PostgreSQL, Vertica)</li>  <li>Good understanding of data warehouse, ETL, data cleansing and data modelling concepts</li>  <li>Comfortable working with very large volumes of data of various formats</li>  <li>Knowledge in Pega Marketing and Microstrategy BI tools has added advantage</li>  <li>Telecom domain knowledge with experience in multi-tiered Customer Care, Order Management, Loyalty, Business Support systems will have added advantage</li>  <li>Must be proactive, resourceful and self-motivated with strong analytical skills</li>  <li>Good interpersonal, written and communication skills</li>  <li>Able to perform under pressure and work effectively with end-users and vendors</li> </ul>"
0,"Analyst, Compensation and People Sciences",AMAZON ASIA-PACIFIC RESOURCES PRIVATE LIMITED,Central,Professional,Human Resources ,Permanent,"$7,000","$11,000",Monthly,https://www.mycareersfuture.sg/job/analyst-compensation-people-sciences-amazon-asia-pacific-resources-6560694aa9d21f8e2650817fe6b7696e,"<p>Does the challenge and ownership that comes from providing data-driven support and challenging status quo excite you? Do you enjoy solving complex problems and delivering innovative solutions to a diverse business? Do you want to be on the forefront of design and development of compensation standards that determine the future of work?</p><p>In this role, you’ll work closely with HR, Finance, and Compensation teams across the globe</p><p>Successful candidates will have experience in large corporate environments and demonstrated ability to balance excellent analytical and technical skills while clearly driving communication and collaboration with other key players. As a member of the team, you will have the opportunity to leverage your passion for business intelligence and make a considerable impact through delivery of critical analyses. </p>","<ul> 	<li>Compiling and evaluating quantitative and qualitative compensation related data sets against internal and external benchmarking </li> 	<li>Design, development and evaluation of highly innovative predictive models for forecasting purposes. </li> 	<li>Contribute to the research of external benchmark information that enables the compensation teams and business leaders to foresee future talent trends. </li> 	<li>Documenting and administering existing and future processes needed to streamline operations and ensure compliance with regulatory requirements </li> 	<li>Serve as data quality advocate with regular system audits to ensure complete and accurate reporting <br> 	Critical Skills and Abilities </li> 	<li>Demonstrated data manipulation skills, including work with complex data structures and queries </li> 	<li>Ability to create, maintain and disseminate information to stakeholders for multiple projects/work streams at one time. </li> 	<li>Strong attention to detail and accuracy </li> 	<li>Excellent communication, collaboration and presentation skills </li> </ul>"
0,Partner - Compensation and People Sciences,AMAZON ASIA-PACIFIC RESOURCES PRIVATE LIMITED,Central,Manager,Human Resources ,Permanent,"$11,000","$15,000",Monthly,https://www.mycareersfuture.sg/job/partner-compensation-people-sciences-amazon-asia-pacific-resources-d83142684a5ebebd67543c6f9edef528,"<p>Does the challenge and ownership that comes from providing data-driven support and challenging status quo excite you? Do you enjoy solving complex problems and delivering innovative solutions to a diverse business? Do you want to be on the forefront of design and development of compensation standards that determine the future of work?</p><p>In this role, you’ll work closely with HR, Finance, and Compensation teams across the globe</p><p>Successful candidates will have experience in large corporate environments and demonstrated ability to balance excellent analytical and technical skills while clearly driving communication and collaboration with other key players. As a member of the team, you will have the opportunity to leverage your passion for business intelligence and make a considerable impact through delivery of critical analyses. </p>","<ul> 	<li>Compiling and evaluating quantitative and qualitative compensation related data sets against internal and external benchmarking </li> 	<li>Design, development and evaluation of highly innovative predictive models for forecasting purposes. </li> 	<li>Contribute to the research of external benchmark information that enables the compensation teams and business leaders to foresee future talent trends. </li> 	<li>Documenting and administering existing and future processes needed to streamline operations and ensure compliance with regulatory requirements </li> 	<li>Serve as data quality advocate with regular system audits to ensure complete and accurate reporting <br> 	Critical Skills and Abilities </li> 	<li>Demonstrated data manipulation skills, including work with complex data structures and queries </li> 	<li>Ability to create, maintain and disseminate information to stakeholders for multiple projects/work streams at one time. </li> 	<li>Strong attention to detail and accuracy </li> 	<li>Excellent communication, collaboration and presentation skills </li> </ul>"
0,Business Process Analyst,Company Undisclosed,East,Executive,Logistics / Supply Chain,Full Time,"$2,800","$3,500",Monthly,https://www.mycareersfuture.sg/job/business-process-analyst-831b6904959b6cad9d82ef517adf63d9,"<p>Support the branch to identify and facilitate process improvements through improved efficiencies and quality of existing processes.</p><p>Evaluate, analyze and prepare data to be and analyzed and develop insightful reporting enabling the company to make better decisions, strengthen customer service and increase profits. Continually strive to expand the utilization of our data, grow analysis techniques and broaden our application of data.</p><ol> 	<li>Support DBO to assist department and branch management in developing and implementing new customer and internal processes that positively impact operations and productivity</li> 	<li>Support DBO to analyze existing data and processes to identify opportunities for cost reduction and improved efficiencies. (Digital Transformation)</li> 	<li>Provide regular updates in the management meeting for deployment and project identified.</li> 	<li>Support DBO to work with Corporate and regional Global Business Operation teams to facilitate companywide improvement initiatives as they relate to the branch.</li> 	<li>Support DBO to monitor data and processes for continual process improvement.</li> 	<li>Closely measure and validate internal and customer related key performance indicators.</li> 	<li>Supporting responsibilities include (but not limit to): 	<p>-Support the transition of new/updated processes</p>  	<p>-Support product improvement efforts</p>  	<p>-Support and facilitate branch Management Review Meetings</p>  	<p>-Any other additional tasks as required to meet the Department’s needs</p> 	</li> 	<li>Identify appropriate locations and query logic to extract data required for each project</li> 	<li>Analyze and determine the quality and integrity of all project data and communicate concerns</li> 	<li>Improve data where possible through logic and supplementation</li> 	<li>Completely document the source, quality and usage or all project datasets</li> 	<li>Ensure all project members fully understand the source and meaning of project data</li> 	<li>Develop insightful business intelligence solutions (reports, dashboards, summaries) required for each project</li> 	<li>Maintain proper back-ups and version control for all project code, reports and data</li> 	<li>Ensure all code, reports and dashboards are highly scalable, configurable and follow all coding guideline</li> </ol>","<ol>  <li>Bachelor degree or higher in the area of information systems or analytics</li>  <li>Advanced proficiency in Microsoft Excel (formulas and pivot tables, VBA)</li>  <li>Proficiency in SQL</li>  <li>Experience working with business reporting software</li>  <li>Graduate with industrial engineering and logistics management or equivalent with minimum 1 year   experience within the company.</li> </ol><p><strong>Other Skills</strong></p><ol>  <li>Proficient in MS Office applications (Excel, Powerpoint, Access, etc.).</li>  <li>Good written and communication skills to relate to clients, suppliers and employees at all levels of the company.</li>  <li>Preferably with advances skills in process analysis, including data (quantitative) analysis and process observation (qualitative). </li>  <li>Ability to clearly communicate and present to small and large groups</li> </ol><p>- Progress through Process Analyst Training Development Map</p><p>- Facilitate “Culture efficiency project” projects in the branch (min. 1 per year)</p><p>-Facilitate and measure improvements in local branch processes with measurable improvements in cost, quality and   productivity (to be determined by local management if corporate/regional goals not available).</p><p>-Facilitate bi-weekly/weekly update on DBO deployment and identify improvement opportunities in performance.</p><p>-Analysis the needs of PMA project and provide updates on project progress and timeline</p><p> </p><p> </p>"
0,International Business Analyst,SCHNEIDER ELECTRIC IT LOGISTICS ASIA PACIFIC PTE. LTD.,East,Senior Executive,Consulting ,Permanent,"$4,500","$8,000",Monthly,https://www.mycareersfuture.sg/job/international-business-analyst-schneider-electric-logistics-asia-pacific-336a394f54ae90b220a8d9686b2a4630,"<p>This position provides visibility to the business leaders of the IT Division on their business performance, to enable them to successfully execute defined initiatives through the provision of insightful &amp; accurate business analytics, dashboards and track the deployment of initiatives over the International Ops Region*.</p><p>The key internal customer of this position is the International Ops SVP, the zone and country business VP (BVP), as well as the VP driving strategic growth initiatives. The business analyst works hand in hands with the finance and Sales Operations community, at the Region and at the zones level.</p><ul> 	<li>Single point of Contact of the business analyst team to the Greater India, Asia and Pacific Operations Zones.</li> 	<li>Supports these defined zones on the use of business intelligence tools linked to bFO (Salesforce.com) and “Greenberry” business intelligence tool (inhouse development, Tableau based)</li> 	<li>Supports these defined zones Sales Operations teams in improving data quality of bFO, driving proper application of bFO “Golden Rules”.</li> 	<li>The business analyst would be the advocate for the adoption of pipeline management best practice by the defined zones, by supporting the use of Greenberry dashboard, and driving regular cadence and data cleansing; Supports the zones in preparing their business reviews for the pipeline management part; Has a critical contribution in predicting the end of quarter or end or year landing of the business.</li> 	<li>At IT Division International Ops level, the position provides ITD monthly business performances reports over its market segments, across all BU’s, for Datacenter and for Commercial &amp; Industrial Governances. This position also assist other regions (particularly Europe) in generating their reports of this type.</li> 	<li>At IT Division International Ops level, manages the documentation and the performance tracking over the strategic initiatives: he coordinates the process to plan the initiatives and handshake their targets with the BVP’s, document the targets, coordinate the activity to publish the monthly performance dashboard. Supports the zones in preparing the strategic initiative score card for their business reviews.</li> </ul><p>* The <em>Region</em> encompasses the following <em>zones</em>: South America, Middle-East &amp; Africa, Greater India, East Asia, Pacific, Japan.</p>","<ul> 	<li>University degree with focus on quantitative methods/ econometrics/ statistics/ mathematics correlated degree programs</li> 	<li>MBA with background in computer science around data science.is a plus</li> 	<li>Min. 3 years of hands on experience in using advanced analytical techniques to solve practical problems from prototyping to business impact</li> 	<li>Deep understanding of machine learning and statistical methods with their underlying theory and math</li> 	<li>Experience with relational databases such as Oracle, SQL Server etc.</li> 	<li>Strong business acumen</li> 	<li>Basic financial and accounting acumen will be critical to translating financial reporting requirements into reporting solutions.</li> 	<li>Excellent problem solving and analytical skills with the ability to apply knowledge and creativity to resolve standard and complex issues.</li> 	<li>Excellent verbal and written communication skills. The ability to work with finance, accounting and operations teams to understand, document and translate their needs and then work with the technical development teams.</li> 	<li>Experience in providing the results of analyses in clear written form and presenting the findings to the audience</li> 	<li>Strong interpersonal skills and ability to work with people from various disciplines and various cultures.</li> 	<li>Good project management, organizational and prioritization skills with attention to detail. </li> 	<li>Experience in the development and implementation of standards, procedures and guidelines to support operational processes.</li> 	<li>Self-motivated with the ability to prioritize, meet deadlines, and manage changing priorities.</li> 	<li>Proven ability to be flexible and work hard, both independently and in a team environment, in a high pressure on-call environment.</li> 	<li>Relentless passion for independent learning:  The tools and needs for data change rapidly and we need to push ahead of the curve. It’s expected that you are always improving, bringing new ideas to the table and learning to make better use of the existing tools.</li> </ul>"
0,Regional Business Finance  Manager,SUNRISE & CO (PTE) LTD,East,Manager,Banking and Finance,Full Time,"$6,000","$6,500",Monthly,https://www.mycareersfuture.sg/job/regional-business-finance-manager-sunrise-408a2bb21ab33ad4098bfa1d52dc5090,"<p>The candidate will be responsible for:-</p><ul> 	<li>Making thorough analysis of business performance of the centres under his / her jurisdiction</li> 	<li>He/ She will provide insights to the sales / marketing teams , enabling optimization of profits and cash , both in short and medium terms</li> 	<li>Will lead compilation and interpretation of monthly financial outlook and result tracking , including monthly forecast and variance analysis</li> 	<li>Analyse &amp; interpret historical results, forecasts, development projects and business intelligence</li> 	<li>Provide analysis to support strategic planning, pricing, competitive gain share etc.</li> 	<li>Conduct variance analytics on monthly basis with focus on revenues and gross margin</li> 	<li>Review business plan proposed by the centre, analyse components and suggest ways to improve market share and profitability</li> </ul>","<ul> 	<li>Bachelor’s Degree in Accounting / Commerce / MBA / CA / CPA</li> 	<li>Total experience of 7 to 8 years in Finance with particular reference to financial analysis, budgeting and planning</li> 	<li>Demonstrated financial acumen of strong analytical competency</li> 	<li>Strong communication &amp; collaborative skills</li> 	<li>Proactive reporting</li> 	<li>Proficient in Microsoft Excel</li> </ul><p>I<strong>nterested candidates please email your detailed resume to hr@risesun.com.sg</strong></p><p> </p>"
0,Test Automation Engineer,LIE XIAN PTE. LTD.,Central,Professional,Information Technology,Permanent,"$5,500","$9,500",Monthly,https://www.mycareersfuture.sg/job/test-automation-engineer-lie-xian-ea0fad231034aa985b8ec9b05d0481ed,"<p>This is a Big Data and Modern Business Intelligence (BI) Company that automates real time use of data in decision making for Organizations. The Company is headquartered in Singapore with a delivery team of over 80 individuals, and has market presence in 5 countries. As a test engineer you will need work with development team and business function team to define test scenarios, build, configure and automate test scripts.</p>","<ul> 	<li>2++ Year Experience on similar role</li> 	<li>Defining software test scenario</li> 	<li>Write test script</li> 	<li>Experience with program languages like Go, Java, .Net</li> 	<li>Automate testing using tools like Puppet, Katalon or similar technologies</li> 	<li>Experience working with Banks or Financial Institutions will be advantageous</li> </ul>"
