,job_title,job_company,job_location,job_seniority,job_category,job_employment_type,job_salary_range_from,job_salary_range_to,job_salary_type,job_details_url,job_description,job_requirements
0,IT Data Scientist (Generalist),Company Undisclosed,Central,Professional,Information Technology,Full Time,"$7,000","$12,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-ee6d544e704fdda821970b416b5eda87,"<p>The Data Scientist should have a graduate degree in Computer Science, Statistics, Deep Learning or Machine Learning and a strong background in statistical methods such as Bayesian statistics, time series forecasting, and feature engineering. Candidates with an undergraduate degree and a demonstrable track record in these domains are encouraged to apply.</p><p> </p><p><strong>Responsibilities</strong></p><ol> 	<li>Implement state-of-the-art deep learning and machine learning models </li> 	<li>Conduct original research on our large repository of data, both proprietary and open-source</li> 	<li>Write production-level code linking new and existing data pipelines with scripts for feature engineering, machine learning predictive models and visualization</li> 	<li>Write tests to check for integrity of our data, models and predictions</li> </ol>","<ol> 	<li>Comfortable with core machine learning algorithms implementation and theory</li> 	<li>Advanced in scripting languages (Python, R and UNIX Shell), Git project management, deep learning frameworks (PyTorch /Keras / TensorFlow..), and programming skills (Java or C++)</li> 	<li>Can communicate clearly and cogently on concepts, processes and algorithms used</li> 	<li>Ability to work in time-sensitive environments and to approach problems from different angles</li> 	<li>Deep learning experience</li> </ol>"
0,Data Scientist,QANVAST PTE. LTD.,Central,Junior Executive,Information Technology,Full Time,"$4,000","$6,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-qanvast-0cc8f0777c154a79e462d8dd0bc51dca,"<ul> 	<li> 	<p>Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions</p> 	</li> 	<li> 	<p>Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.</p> 	</li> 	<li> 	<p>Assess the effectiveness and accuracy of new data sources and data gathering techniques.</p> 	</li> 	<li> 	<p>Develop custom data models and algorithms to apply to data sets.</p> 	</li> 	<li> 	<p>Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.</p> 	</li> 	<li> 	<p>Develop company A/B testing framework and test model quality.</p> 	</li> 	<li> 	<p>Coordinate with different functional teams to implement models and monitor outcomes.</p> 	</li> 	<li> 	<p>Develop processes and tools to monitor and analyze model performance and data accuracy.</p> 	</li> </ul>","<ul> 	<li> 	<p>Strong problem solving skills with an emphasis on product development.</p> 	</li> 	<li> 	<p>Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.</p> 	</li> 	<li> 	<p>Experience working with and creating data architectures.</p> 	</li> 	<li> 	<p>Knowledge of a variety of machine learning techniques.</p> 	</li> 	<li> 	<p>Knowledge of advanced statistical techniques and concepts and experience with applications.</p> 	</li> 	<li> 	<p>Excellent written and verbal communication skills.</p> 	</li> 	<li> 	<p>Familiar with the following software/tools:</p>  	<ul> 		<li> 		<p>C, C++, Java,</p> 		</li> 		<li> 		<p>JavaScript</p> 		</li> 		<li> 		<p>GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis</p> 		</li> 		<li> 		<p>R, Python, SLQ, etc.</p> 		</li> 		<li> 		<p>Redshift, S3, Spark, DigitalOcean, etc.</p> 		</li> 		<li> 		<p>Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.</p> 		</li> 		<li> 		<p>Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.</p> 		</li> 		<li> 		<p>Periscope, Business Objects, D3, ggplot, etc.</p> 		</li> 	</ul> 	</li> </ul>"
0,Senior Data Scientist,ORICA INTERNATIONAL PTE. LTD.,Central,Middle Management,Information Technology,Permanent,"$150,000","$170,000",Annually,https://www.mycareersfuture.sg/job/senior-data-scientist-orica-international-a06ad1740d1a79cf27dd99e1f9ee7ab4,"<p>As part of a cross functional team which uses an analytic agile methodology to develop capabilities based on business needs, you will unravel complex problems, discover insights and identify opportunities using statistical, algorithmic, mining and visualisation techniques. In addition to advanced analytic skills, this role is also proficient in integrating and preparing large, varied datasets, architecting specialised database and computing environments, and communicating results.</p><p>Based on your expertise of statistical knowledge, you will lead discovery processes with stakeholders to identify business requirements and the expected outcome, models and frames business scenarios that are meaningful and which impact on critical business processes and decisions. Critical to this position is the ability to come up with solutions to loosely defined business problems by leveraging pattern detection over potentially large datasets.</p><p>You will work closely with clients, data stewards, other data scientists, project/program managers, and other IT teams to turn data into critical information and knowledge that can be used to make sound organisational decisions. Other responsibilities include proposing innovative ways to look at problems by using data mining approaches; validate findings using an experimental and iterative approach; present back the findings to the business by exposing their assumptions and validation work in a way that can be easily understood by their business counterparts; product solution and delivery; actively participating in Design Solution thinking; contribute to vision, roadmap, and content presentations and ensuring solution provided meets the customer needs.</p>","<ul> 	<li>Degree in Information Systems, Product Management or Human Computer Interaction disciplines; or Three-year degree in Computer Interaction disciplines or related field.</li> 	<li>Experienced in quantitative and qualitative research and analytics</li> 	<li>Solid knowledge of statistical techniques</li> 	<li>Strong programming skills (such as Hadoop MapReduce or other big data frameworks, Java), statistical modelling (like SAS or R)</li> 	<li>Experience using machine learning algorithms</li> 	<li>High proficiency in the use of statistical packages</li> 	<li>Proficiency in statistical analysis, quantitative analytics, forecasting/predictive analytics, multivariate testing, and optimization algorithms</li> 	<li>Strong communication and interpersonal skills</li> </ul>"
0,Head (Data Architect),Accountant-General's Department,,,Accounting / Auditing / Taxation ...,Full Time,,,,https://www.mycareersfuture.sg/job/head-accountant-generals-department-cb19026c04d291f44112432e6550e2e9,"<p><strong>Head (Data Architect)</strong></p><p>To architect, design and administer the Whole-of-Government (WOG) enterprise data analytics platform (FI@Gov) for the public sector finance and internal audit community.</p><p>The key objective of the AGD-Business Analytics directorate is to transform the finance and audit processes through data analytics, and to drive a data-driven approach in decision making. This includes strengthening data analytics capabilities and competencies to strengthen governance, optimise resource management and drive productivity.</p><p>The key roles fulfilled by this job include to:</p><ul>
<li>Administer the development and maintenance of the public sector finance data warehouse and data architecture. This includes developing and implementing best practices to ensure optimal data quality, integrity, governance and system performance.</li>
<li>Drive data integration, data modelling, analytics and reporting deliverables in collaboration with business analysts and technology partners.</li>
<li>Manage large scale development and deployment of big data infrastructure and platform;</li>
<li>Review and govern design principles to ensure quality and performant design of dashboards and tools on the Business Intelligence platform powered by Microstrategy.</li>
<li>Plan and implement the data strategy and technology roadmap for the WOG finance analytics platform. This includes monitoring emerging trends of data analytics technologies, including related technologies in the area of robotics and artificial intelligence, and propose the technology roadmap for adoption and application.</li>
<li>Manage the deployment of advanced analytics applications with data pipelines integrated with the overall enterprise grade system architecture and infrastructure.</li>
<li>Manage a team of data analyst and data scientist, overseeing related projects from end-to-end, including user requirement studies, prototyping, development, testing and deployment.</li>
<li>Ensure proper documentation of the data warehouse and analytics platform, including design architecture, data schema, operations management procedures and system functional specifications.</li>
</ul><p> </p><p> </p><p><strong>Requirement</strong></p><ul>
<li>Good degree from a recognised university in computer science, computer engineering, information technology, or a related field.</li>
<li>At least 10 years of experience on enterprise data solutions and architecture</li>
<li>Competency in Microstrategy architecture is strongly preferred</li>
<li>A good understanding of big data technologies, with at least 3 years of experience in Hadoop ecosystem</li>
<li>Ability to independently architect and maintain a hybrid data platform, integrating Hadoop with SQL data warehouse</li>
<li>A good understanding of business intelligence tools and data science techniques like machine learning and text mining, with competency in open-source scripting language (e.g. R, Python) is advantageous</li>
<li>Experience in vendor management and project management is preferred</li>
<li>Team player who can work well with stakeholders from different public agencies</li>
<li>Self-motivated to learn and keeps up to date with the latest analytical technologies in the industry</li>
<li>Confident communicator, with good writing and presentation skills</li>
</ul><p>If you are shortlisted for the position, you should hear from us within 30 days of the closing date of the advertisement. </p>",
0,Senior Technology Specialist - IT Services in Singapore (90501),GECO ASIA PTE. LTD.,East,Professional,Information Technology,Contract ...,"$6,000","$10,000",Monthly,https://www.mycareersfuture.sg/job/senior-technology-specialist-services-singapore-geco-asia-53d87e77b40b67288e05bf6f015883a4,<p><strong>Job Summary:</strong><br> Role: Special / Senior Technology Specialist - IT Services (Senior Data Scientist - ML Specialist) in Singapore<br> Start: ASAP<br> Duration: 6 Months<br> Location: Singapore</p>,"<p>One of our clients is looking for a Senior Technology Specialist - IT Services (Senior Data Scientist - ML Specialist), who is/are able to fulfill the following requirements:<br> <br> <strong>Requirements:</strong><br> - A Senior Data Scientist with strong knowledge in Machine Learning techniques.<br> - MS degree in a quantitative discipline (e.g., Statistics, Operations Research, Bioinformatics, Economics, Computational Biology, Computer Science, Mathematics, Physics, Electrical Engineering, Industrial Engineering).<br> - 5 years of relevant work experience in data analysis or related field. (e.g., as a Statistician / Data Scientist), including deep expertise and experience with statistical data analysis such as linear models, multivariate analysis, stochastic models, sampling methods. Analytical.<br> <br> Mandatory Skills:<br> - Machine Learning modelling, AWS cloud services, Programming languages (C, C++, Java, Python)<br> <br> Good to have skills:<br> - Experience in AI automation work<br> <br> <strong>Roles and Responsibilities:</strong><br> - Develop analytical use cases using Big Data tools and techniques<br> - Build end-to-end Machine Learning frameworks to answer business questions<br> - Conduct end-to-end analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables and presentations<br> - Solve difficult, non-routine analysis problems, applying advanced analytical methods where needed<br> - Work closely with Machine Learning engineers to implement production-grade models<br> - Build and prototype analysis pipelines iteratively to provide insights at scale<br> <br> <br> Please send your application to applicants@geco.asia with (JOB_000306) in Subject line and highlighting:<br> <br> - Your relevant experience<br> - Current/expected salary <br> - Availability information <br> - A latest MS-WORD Resume<br> <br> <br> **We regret that only short-listed applicants will be contacted.**<br> <br> GECO Asia values the data privacy rights of our customers, associates, partners and prospective applicants. We have a privacy policy that governs our collection and use of personal data in place. In conjunction with the new PDPA act in Singapore, we have updated our Privacy Policy and Terms of Use to better clarify our collection and use of your personal information. The same can be found here (https://www.geco.asia/about/privacy-policy)</p><p>Note: GECO Asia is a German IT Services company and provides specialist IT resources on project and permanent basis. We operate under a Comprehensive Licence offered by MOM Singapore.<br> [GECO Asia Pte Ltd, Licence No. 07C4453]<br> [2 Venture Drive, #10-18, Vision Exchange, Singapore 608526]</p>"
0,"Data Scientist, Technical Services",Company Undisclosed,Central,Executive,Information Technology,Permanent ...,"$55,000","$60,000",Annually,https://www.mycareersfuture.sg/job/data-scientist-technical-services-7d4ab6ce3358b1c5e51ae5aae7686974,"<p>Typically after a year of on the job training, a Data Scientist on the Technical Services team is able to:</p><p> </p><p> </p><p>●    Digest Client’s Google Analytics (GA) and Google Tag Manager (GTM) implementation and identify areas of opportunity within Client data to recommend strategic solutions</p><p>●    Develop apps (visualization, routing data, cleaning data, access to data, interacting with data) for analytics platforms</p><p>●    Develop various Big Data capabilities in the cloud for our Clients, aligning them with business strategies and requirements</p><p>●    Architect solutions for massive scale, resiliency and maintainability, leveraging various cloud providers which meet technical, security, and business needs for applications and workloads</p><p>●    Execute strategic engineering proof of concepts and contribute to technology strategy and engineering roadmaps</p><p>●    Translate solutions and complicated concepts to all audiences, from executive level members to marketing teams</p><p>●    Other duties as assigned</p>","<p>College degree, preferably in Computer Science, Information Science - OR - equivalent experience in Web or Mobile Development</p><p>●    Experience with Python, SQL, Java or Google BigQuery</p><p>●    Machine Learning Framework experience</p><p>●    Proven ability to solve complex problems with on-time delivery, the highest quality, and creativity in the approach</p><p>●    Ability to listen and understand business needs and creatively develop solutions</p><p>●    Ability to work on a team and manage individual prioritized workload</p><p>●    Cloud infrastructure experience</p><p>●    Strong desire to become a proficient Data Scientist for a fast paced company</p><p> </p>"
0,Senior Data Scientist,SHOPEE SINGAPORE PRIVATE LIMITED,South,Executive,Information Technology,Permanent ...,"$9,000","$17,600",Monthly,https://www.mycareersfuture.sg/job/senior-data-scientist-shopee-singapore-dd56022104728798661c8de890dfe420,"<ul>   <li>Develop and enhance data infrastructure using frameworks such as Hadoop, SPARK and Flume</li>   <li>Design and build new data models and architects that will provide intuitive analytics</li>   <li>Design and build reliable data pipelines that will efficiently move data to our Data Warehouse</li>   <li>Design and develop new systems and tools that will enable teams to utilise, understand and process data at faster speeds</li>  </ul><br>","<ul>   <li>Minimum B.S. degree in Computer Science or a related technical field</li>   <li>Excellent communication skills with the ability to identify and communicate data driven insights</li>   <li>2+ years of Python development and Unix/linux system experience</li>   <li>2+ years of SQL (Mysql, Mssql, Hive, etc) experience</li>   <li>You must also possess at least 2 of the additional requirements as below</li>   <li>2+ years of working experience in software development/programming in one of Java, C/C++. OS environment: Linux/Unix</li>   <li>2+ years of working experience with distributed databases or distributed systems</li>   <li>2+ years of working experience with dimensional data modelling &amp; schema design in Data Warehouses</li>   <li>2+ years of working experience working on BigData analytics pipelines (Hadoop, Hive, ETL, RDBMS-Hadoop data management tools like Sqoop)</li>  </ul><br>"
0,Senior Data Scientist,SHOPEE SINGAPORE PRIVATE LIMITED,South,Executive,Information Technology,Permanent ...,"$9,000","$17,600",Monthly,https://www.mycareersfuture.sg/job/senior-data-scientist-shopee-singapore-ef86d9fdab299240a5eaa7d18ce941e0,"<ul>   <li>Develop and enhance data infrastructure using frameworks such as Hadoop, SPARK and Flume</li>   <li>Design and build new data models and architects that will provide intuitive analytics</li>   <li>Design and build reliable data pipelines that will efficiently move data to our Data Warehouse</li>   <li>Design and develop new systems and tools that will enable teams to utilise, understand and process data at faster speeds</li>  </ul><br>","<ul>   <li>Minimum B.S. degree in Computer Science or a related technical field</li>   <li>Excellent communication skills with the ability to identify and communicate data driven insights</li>   <li>2+ years of Python development and Unix/linux system experience</li>   <li>2+ years of SQL (Mysql, Mssql, Hive, etc) experience</li>   <li>You must also possess at least 2 of the additional requirements as below</li>   <li>2+ years of working experience in software development/programming in one of Java, C/C++. OS environment: Linux/Unix</li>   <li>2+ years of working experience with distributed databases or distributed systems</li>   <li>2+ years of working experience with dimensional data modelling &amp; schema design in Data Warehouses</li>   <li>2+ years of working experience working on BigData analytics pipelines (Hadoop, Hive, ETL, RDBMS-Hadoop data management tools like Sqoop)</li>  </ul><br>"
0,Data Scientist,SHOPEE SINGAPORE PRIVATE LIMITED,South,Executive,Information Technology,Permanent ...,"$3,800","$7,500",Monthly,https://www.mycareersfuture.sg/job/data-scientist-shopee-singapore-1f85486be8c201c8007ff2c25259921b,"<ul>   <li>Develop and enhance data infrastructure using frameworks such as Hadoop, SPARK and Flume</li>   <li>Design and build new data models and architects that will provide intuitive analytics</li>   <li>Design and build reliable data pipelines that will efficiently move data to our Data Warehouse</li>   <li>Design and develop new systems and tools that will enable teams to utilise, understand and process data at faster speeds</li>  </ul><br>","<ul>   <li>Minimum B.S. degree in Computer Science or a related technical field</li>   <li>Excellent communication skills with the ability to identify and communicate data driven insights</li>   <li>2+ years of Python development and Unix/linux system experience</li>   <li>2+ years of SQL (Mysql, Mssql, Hive, etc) experience</li>   <li>You must also possess at least 2 of the additional requirements as below</li>   <li>2+ years of working experience in software development/programming in one of Java, C/C++. OS environment: Linux/Unix</li>   <li>2+ years of working experience with distributed databases or distributed systems</li>   <li>2+ years of working experience with dimensional data modelling &amp; schema design in Data Warehouses</li>   <li>2+ years of working experience working on BigData analytics pipelines (Hadoop, Hive, ETL, RDBMS-Hadoop data management tools like Sqoop)</li>  </ul><br>"
0,"VP  /  AVP, Data Scientist, Investment and Trading Technology, Technology and Operations  (180002YF)",DBS BANK LTD.,East,Manager,Banking and Finance,Permanent ...,"$6,500","$13,000",Monthly,https://www.mycareersfuture.sg/job/vp-avp-data-scientist-investment-trading-technology-technology-operations-dbs-bank-1a1bf187dc76f9769f2c9d0d874ba044,"<ul>   <li>Selecting features, building and optimizing classifiers using machine learning techniques</li>   <li>Data mining using state-of-the-art methods</li>   <li>Enhancing data collection procedures to include information that is relevant for building analytic systems</li>   <li>Processing, cleansing, and verifying the integrity of data used for analysis</li>   <li>Doing ad-hoc analysis and presenting results in a clear manner</li>  </ul>","<ul>   <li>Excellent understanding of machine learning techniques and algorithms; pattern recognition and predictive modeling skills to address business problems</li>   <li>Undertaking data collection, preprocessing and analysis of structured and unstructured data</li>   <li>Experience with common data science toolkits, such as R, Python. Experience with programming languages such as Java an asset. </li>   <li>Proficiency in using query languages such as SQL, Hive, Pig. Being able to use Spark is an added advantage</li>   <li>Experience with NoSQL databases, such as MongoDB, Cassandra, HBase </li>   <li>Communicate results and ideas to key decision makers </li>   <li>Experience with data visualization tools such as Qlik or any other open source visualization tools.</li>   <li>Good to have treasury &amp; market product knowledge as well</li>   <li>Good applied statistics skills such as distributions, statistical testing, regression, etc.</li>   <li>Good scripting and programming skills </li>   <li>Data-oriented personality with problem-solving aptitude</li>   <li>Master’s Degree in Computer Science, Statistics, Applied Math or related field</li>   <li>4+ years of hands-on analytics and / or model development.</li>  </ul>"
