,job_title,job_company,job_location,job_seniority,job_category,job_employment_type,job_salary_range_from,job_salary_range_to,job_salary_type,job_details_url,job_description,job_requirements
0,Data Analyst - Data Transformation IMO,ROBERT WALTERS (SINGAPORE) PTE LTD,Central,Executive,Information Technology,Temporary ...,"$6,000","$7,400",Monthly,https://www.mycareersfuture.sg/job/data-analyst-data-transformation-imo-robert-walters-bc6d630c450ff0f492bae277bfdfc3be,,
0,2019 Market Data Analyst,BLOOMBERG SINGAPORE PTE. LTD.,Central,Fresh/entry level ...,Banking and Finance ...,Permanent,"$75,000","$85,000",Annually,https://www.mycareersfuture.sg/job/2019-market-data-analyst-bloomberg-singapore-9d1aff009d65d691dad1b361ef4587cf,"<p>You're the type of person who has a passion for taking raw numbers and turning them into actionable insights. Your friends all know you as someone with a true interest in technology, who likes nothing more than spotting a creative way to improve a process. You have a natural eye for detail, and an interest in the financial markets. You are independent and determined, but thrive as part of a team. You enjoy dealing with people, and you're that person who knows what customer service really means.</p><p><strong>Our team</strong></p><p>Bloomberg runs on data, and our Global Data department is responsible for acquiring it and supplying it to our clients. Our Market Data Analysts collect, analyse, process and publish the data which is the backbone of our iconic Bloomberg Terminal- the data which ultimately moves the financial universe. They apply problem-solving skills to identify innovative workflow efficiencies, and they implement technology solutions to improve our systems, products and processes- and all this while providing platinum customer support to our customers.</p><p><strong>We'll trust you to:</strong></p><ul> 	<li> Acquire, update, maintain and process financial data using various internal systems and proprietary company software</li> 	<li> Come up with innovative ways to enhance our systems and to make our data-related processes more efficient, accurate and timely</li> 	<li> Participate in time-sensitive projects, and collaborate with your global colleagues to deliver new initiatives</li> 	<li> Partner closely with internal departments such as Sales, Analytics, News and Engineering</li> 	<li> Provide a platinum level of service to Bloomberg customers</li> </ul><p><strong>What's in it for you?</strong></p><ul> 	<li> Comprehensive training giving you a thorough overview of financial concepts, various data sets, and of course our state-of-the-art Bloomberg terminal</li> 	<li> Gain in-depth, hands-on experience of one particular market sector (For example: Company Financials)</li> 	<li> Opportunity to gain exposure to and interact with key market players in business and finance</li> 	<li> Make a true business impact on our products and clients – our data moves markets!</li> 	<li> Real potential for exciting and varied career progression</li> </ul>","<p><strong>You'll need to have:</strong></p><ul> 	<li> Bachelor's degree or equivalent work experience</li> 	<li> Excellent numerical and communication skills</li> 	<li> Business fluency in English</li> 	<li> A positive attitude with good inter-personal skills</li> 	<li> The ability to multi-task, prioritise and work to tight deadlines</li> 	<li> Meticulous attention to detail, with an aptitude for working quickly and accurately</li> 	<li> Strong project management, problem solving and analytical skills</li> 	<li> Proficiency in Microsoft Excel, with some advanced technical knowledge and experience (VBA, SQL, Python, MATLAB, R)</li> 	<li>Available to start in 2019</li> </ul><p><strong>We'd love you to have:</strong></p><ul> 	<li> Interest in, and knowledge or experience of financial statements and the financial markets</li> 	<li> Prior experience of data research or process engineering</li> 	<li> Fluency in one or more Asian languages</li> </ul><p><strong>If this sounds like you:</strong></p><p>Apply! If we think you're a good match we'll get in touch to let you know the next steps.</p><p>We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.</p>"
0,Junior Data Analyst,OBSERVATIONAL AND PRAGMATIC RESEARCH INSTITUTE PTE. LTD.,East,Junior Executive,Information Technology,Permanent ...,"$3,000","$4,000",Monthly,https://www.mycareersfuture.sg/job/junior-data-analyst-observational-pragmatic-research-institute-7a024ac411a5a189f7b9ec59286772d8,"<p>Observational and Pragmatic Research Institute (OPRI) is a unique academic research institution, working with both the pharmaceutical and academic industry, with the overarching goal to improve the lives of patients through conducting vital global real-world research. OPRI is part of a global network of international companies, with partner companies located in the United Kingdom and Australia.</p><p>OPRI has been leading the paradigm shift in real-world evidence for the past 12 years, by delivering pragmatic clinical trials, disease registries and database research.</p><p>We are currently seeking a hard-working and motivated Data Analyst to join our international team. You would be involved in supporting the team developing the first global severe asthma registry ever developed, joining a young and enthusiastic team in supporting a globally-renowned project.</p><p><strong>Key responsibilities of the role will be to:</strong></p><ul> 	<li>Provide support on database querying, population and reporting, using structured query language (SQL).</li> 	<li>Assist in generate data releases following study protocol requirements and service reports (Tableau).</li> 	<li>Advise internal team members and external clients on study database(s) content.</li> 	<li>Engage in building and maintaining data dictionaries and system technical documentation.</li> 	<li>Undertake quality checks to assure high standards of data and code.</li> 	<li>Contribute to data analyses as required for research projects.</li> 	<li>Maintain compliance with information governance and company policies.</li> </ul>","<p><strong>Qualifications</strong></p><p>BSc or equivalent qualification with strong technical or scientific component (e.g. Computer Science, Maths, Statistics).</p><p><strong>Experience</strong></p><ul> 	<li>Familiarity with structured query language (SQL) and database processing (ETL, stored procedures, large datasets)</li> 	<li>Strong ability for data analysis, interpretation and visualization.</li> 	<li>Experience in at least one data or statistical package (SAS, R, or Stata)</li> 	<li>Some experience in data dictionaries and advanced documentation systems.</li> </ul><p><strong>Key skills:</strong> data manipulation (SAS, R, or Stata), relational databases (esp. my SQL and SQL Server), clinical or medical research, proactive approach.</p><p><strong>Desirable</strong>: statistical background (models, correlations, hypothesis), general purpose programming languages (e.g. Python), database administration tools (migration, DB administration), experience of working with clinical databases</p>"
0,Data Analyst,HYDROGEN CONSULTING SOLUTIONS PTE. LTD.,Central,Professional,Banking and Finance,Contract,"$4,500","$6,000",Monthly,https://www.mycareersfuture.sg/job/data-analyst-hydrogen-consulting-solutions-d71c348ca2407b61bf80ab1839c8840e,"<p>·         Min. 2 years’ experience in banking industry preferably in Risk, AML/ KYC and data analysis</p><p>·         Proficient in SQL, good level of complex database data extraction skill is a must.</p><p>·         Proficient in Microsoft Excel is a must</p><p>·         Proficient in Tableau and Alteryx is preferred</p><p>·         Ability to collaborate effectively with a wide range of stakeholders</p><p>·         Highly independent and self-motivated; can progress on objectives with minimal supervision</p><p>·         Highly organized &amp; meticulous; good eye for detail and accuracy</p><p>·         Capability to progress multiple tasks / projects simultaneously; strong ownership of tasks assigned</p><p>·         Effective verbal and written English communication skills</p><p>·         Ability to think laterally and outside the box</p><p>·         Degree or diploma qualified with a preference in a Business or Technology discipline</p>",<p>·         Engaging stakeholder in Understanding the request requirement</p><p>·         Extracting correct data field as per the request.</p><p>·         Validation extracted data against the front-end system.</p><p>·         Produce and present analysis to the Project Working Group to facilitate decision making.</p><p>·         Complete administrative ownership in terms of project related updates/paper submission.</p>
0,Senior Data Analyst,CHARLES & KEITH (SINGAPORE) PTE. LTD.,Central,Senior Executive,Information Technology,Full Time,"$6,000","$8,000",Monthly,https://www.mycareersfuture.sg/job/senior-data-analyst-charles-keith-6659d599806e295ca7bb79a243adb38b,"<p><strong>Job Responsibilities</strong></p><ul>   <li>Align, understand and prioritize analytic goals to address business opportunities and value</li>   <li>Using data science techniques directly to scoop and develop proof-of-concepts/ prototypes</li>   <li>To conceive, develop and test algorithms with tools like R, Python, etc.</li>   <li>To carry out machine learning projects and deploy the model in production</li>   <li>Perform any ad-hoc duties or responsibilities assigned</li>  </ul><p> </p><p> </p><p> </p>","<p><strong>Requirement</strong></p><ul>   <li>At least a Degree or Masters in Mathematics, Economics, Computer Science, Information Management, Statistics or related field</li>   <li>Preferable with at least 2 years’ experience in data analysis, retail industry experience is a plus</li>   <li>Knowledge of statistics and experience using statistical packages for analyzing datasets (i.e. R or Python)</li>   <li>A strong ability in writing R and/ or Python code for machine learning projects</li>   <li>Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy</li>   <li>Creative business thinking and open-minded with the ability to convert information into insights</li>   <li>Strong team player yet adaptable, proactive, independent, responsible, creative and flexible to changes</li>   <li>Strong interest in data science</li>   <li>Experience with SQL and NoSQL databases</li>   <li>Passion for fashion</li>  </ul>"
0,Data Analyst,ALLEGIS GLOBAL SOLUTIONS (SINGAPORE) PTE. LTD.,Central,Senior Executive,Banking and Finance,Contract,"$5,000","$10,000",Monthly,https://www.mycareersfuture.sg/job/data-analyst-allegis-global-solutions-fc08589398a39e48cdb5278f270faad1,"<p>Allegis Global Solutions is the exclusive Contingent HR services provider for one of the world’s leading banks.</p><p>At Allegis Global Solutions we’re proud to be the leader in global talent solutions. We draw upon decades of industry expertise to develop innovative tools, products, processes and strategies focused on outcome. Moreover, we’re incredibly proud to have built a culture that empowers our people to make their mark while making deep connections that will last a lifetime. With our passion and culture for talent, we are truly transforming the way the World acquires talent.</p><p> </p><p>Our Client is one of the world's most international banks with over 1,100 branches, offices and outlets in 67 countries. They operate in some of the world's most dynamic markets and have been for over 150 years. More than 90 per cent of their income and profits are derived from Asia, Africa and the Middle East. Their brand promise, Here for good, underlines their distinctive approach.</p>","<p> </p><p>The successful candidate will be responsible for Global Banking(GB) and Commercial Banking(CB) Analytics, which will include data sourcing, data transformation, predictive modelling and creating Tableau dashboards.</p><p> </p><p><strong>KEY RESPONSIBILITIES</strong></p><p> </p><ul>  <li>Create strong blending data capabilities within team so that we can come up with useful client information from data very quickly</li>  <li>Engage with business stakeholders cross countries and gather requirement and liaise with ETL team to get the required data preparation.</li>  <li>Promote analytics driven decision making processes across multiple segments/product portfolios</li>  <li>Engage and execute the dashboards on Tableau or similar visualization tools</li>  <li>Explore statistical and automation tools like R, SAS, Python for predictive and prescriptive analytics</li>  <li>Engage relevant technology teams to embed advanced statistical tools</li>  <li>Prepare and/or contribute to regular updates for various committees and governance forums</li>  <li>Provide insights to senior management and the network based on MIS and analytics</li>  <li>Highlight any perceived risks and early alerts to the management based on data analytics</li> </ul><ul>  <li>Perform data validation and dashboard performance optimization</li> </ul><p> </p><p><strong>KEY RELATIONSHIPS</strong></p><p> </p><ul>  <li>COBAM Performance Improvement Team</li>  <li>COBAM and CDD Central Team</li>  <li>Technology / database team</li>  <li>CET Hubs and other CETs</li>  <li>FCC</li>  <li>CIC COO team</li>  <li>GTO / Development Team</li>  <li>PSS</li> </ul><p> </p><p><strong>REQUIRED KNOWLEDGE, EXPERIENCE AND COMPETENCIES</strong></p><p> </p><ul>  <li>A proven track record with 4 years or more of relevant analytics work experience and demonstrated career progression/increase in responsibilities</li>  <li>Strong academic record: Degree in Finance, Statistics, Computer Science or related field</li>  <li>Knowledge of either R, SAS or Python</li>  <li>Strong Knowledge of Tableau or similar visualization tools</li>  <li>Proficient in excel and SQL</li>  <li>Knowledge of statistical modelling and machine learning will be an added plus</li>  <li>Understanding of the ETL process</li>  <li>Highly effective verbal and written English communication skills</li>  <li>Good presentation, time management, negotiation and influencing skills</li>  <li>Ability to influence without authority</li>  <li>Strong analytical and problem solving skills</li>  <li>Experience in project management from business requirement definition, solution validation, user testing, technical documentation and production roll out</li>  <li>Ability to manage multiple work streams with strong problem solving and analytical skills</li>  <li>Strong communication and presentation skills to varying levels of management</li> </ul><p> </p>"
0,Head (Data Architect),Accountant-General's Department,,,Accounting / Auditing / Taxation ...,Full Time,,,,https://www.mycareersfuture.sg/job/head-accountant-generals-department-cb19026c04d291f44112432e6550e2e9,"<p><strong>Head (Data Architect)</strong></p><p>To architect, design and administer the Whole-of-Government (WOG) enterprise data analytics platform (FI@Gov) for the public sector finance and internal audit community.</p><p>The key objective of the AGD-Business Analytics directorate is to transform the finance and audit processes through data analytics, and to drive a data-driven approach in decision making. This includes strengthening data analytics capabilities and competencies to strengthen governance, optimise resource management and drive productivity.</p><p>The key roles fulfilled by this job include to:</p><ul>
<li>Administer the development and maintenance of the public sector finance data warehouse and data architecture. This includes developing and implementing best practices to ensure optimal data quality, integrity, governance and system performance.</li>
<li>Drive data integration, data modelling, analytics and reporting deliverables in collaboration with business analysts and technology partners.</li>
<li>Manage large scale development and deployment of big data infrastructure and platform;</li>
<li>Review and govern design principles to ensure quality and performant design of dashboards and tools on the Business Intelligence platform powered by Microstrategy.</li>
<li>Plan and implement the data strategy and technology roadmap for the WOG finance analytics platform. This includes monitoring emerging trends of data analytics technologies, including related technologies in the area of robotics and artificial intelligence, and propose the technology roadmap for adoption and application.</li>
<li>Manage the deployment of advanced analytics applications with data pipelines integrated with the overall enterprise grade system architecture and infrastructure.</li>
<li>Manage a team of data analyst and data scientist, overseeing related projects from end-to-end, including user requirement studies, prototyping, development, testing and deployment.</li>
<li>Ensure proper documentation of the data warehouse and analytics platform, including design architecture, data schema, operations management procedures and system functional specifications.</li>
</ul><p> </p><p> </p><p><strong>Requirement</strong></p><ul>
<li>Good degree from a recognised university in computer science, computer engineering, information technology, or a related field.</li>
<li>At least 10 years of experience on enterprise data solutions and architecture</li>
<li>Competency in Microstrategy architecture is strongly preferred</li>
<li>A good understanding of big data technologies, with at least 3 years of experience in Hadoop ecosystem</li>
<li>Ability to independently architect and maintain a hybrid data platform, integrating Hadoop with SQL data warehouse</li>
<li>A good understanding of business intelligence tools and data science techniques like machine learning and text mining, with competency in open-source scripting language (e.g. R, Python) is advantageous</li>
<li>Experience in vendor management and project management is preferred</li>
<li>Team player who can work well with stakeholders from different public agencies</li>
<li>Self-motivated to learn and keeps up to date with the latest analytical technologies in the industry</li>
<li>Confident communicator, with good writing and presentation skills</li>
</ul><p>If you are shortlisted for the position, you should hear from us within 30 days of the closing date of the advertisement. </p>",
0,Data Analytics Lead,TRAVELOKA SERVICES PTE. LTD.,Central,Manager,Information Technology,Permanent,"$8,300","$15,000",Monthly,https://www.mycareersfuture.sg/job/data-analytics-lead-traveloka-services-aa9bd39f7c57d70ffa1e4e44799bd305,"<p>You will be responsible for defining, collecting, processing, analyzing data across divisions and work with teams for driving the company, its products, and its operation forward through data. You will also be managing a team (or teams) of Data Analyst, growing and empowering them to accomplish great things, and ensuring that best practices, standards, and processes are adhered to. </p><p>You will roughly spend 60-80% time in hand-on Data Modeling, and 20-40% time in people management and coaching depending on team size. You will need to acquire contextual breadth and depth in your domain and manage stakeholders' expectations. </p><p>Working in Traveloka:</p><ul> 	<li>You will work in cross-functional teams and meet great people regularly from top tier technology, consulting, product, or academic background. </li> 	<li>We work in open environment where there are no boundaries or power distance. </li> 	<li>Everyone is encouraged to speak their mind, propose ideas, influence others, and continuously grow themselves. </li> 	<li>Get the exposure to multi-aspect, collaborative, intensive startup experience with our recent expansion into Southeast Asia and exploration of new products. <br> 	 </li> </ul>","<p>We are looking for someone with:</p><ul> 	<li>Passion in data analysis, mathematics, statistics, modeling, or pattern recognition</li> 	<li>Strong business acumen, able to translate data to business insights</li> 	<li>Knowledge in data structures and algorithms for processing large data</li> 	<li>8+ years of experience in data modeling</li> 	<li>At least 3-5 years of technical leadership experience is preferred</li> 	<li>Strong analytical, mathematical, and communication skills</li> 	<li>Critical thinking and strong attention to details</li> 	<li>Bachelor's degree in technical major is preferred<br> 	 </li> </ul>"
0,Data Analyst,COGNIZANT TECHNOLOGY SOLUTIONS ASIA PACIFIC PTE. LTD.,Islandwide,Manager ...,Information Technology,Full Time,"$7,000","$10,300",Monthly,https://www.mycareersfuture.sg/job/data-analyst-cognizant-technology-solutions-asia-pacific-0aa2c9ab2235e4a4162802a77ab8783a,"<ul> 	<li>Understanding Bank’s Trade Finance Application which will participate in data sourcing for data ingestion. </li> 	<li>Performing Impact Assessment / Regression Impact on Banks’ Trade Finance applications.</li> 	<li>Performing Data Analysis on Source Attributes and preparing data mapping for data elements.</li> 	<li>Preparing Functional Specification documents for data ingestion based on Business requirement documents provided by Bank. This should be in-line to Bank IT Standards &amp; Guidelines.</li> 	<li>Preparation of Mapping Specification covering business rules, data validations, processing logic.</li> 	<li>Preparing Use Cases for Bank to review and approve the approach for data ingestion.</li> 	<li>Review &amp; Validation of Test Cases &amp; Test Results for User sign-off &amp; acceptance.</li> </ul>","<ul> 	<li>At least 8 years with IT projects and 5 years experience in Banking Domain</li> 	<li>Experience in data analysis, business analysis and requirement gathering</li> 	<li>Bachelors or Masters in Engineering or equivalent</li> 	<li>Certification in Business Analysis &amp; Data Analysis will be an added advantage</li> 	<li>Excellent communication skills and ability to interact with internal &amp; external stakeholders.</li> 	<li>Able to participate in business workshops for building use cases &amp; user requirements.</li> 	<li>Able to participate in requirement gathering by engaging SME’s &amp; Technical team.</li> 	<li>Strong understanding on Banking domain with an experience on <strong>Trade Finance</strong> products like with Letter credit, Bank Guarantee, Shipping Guarantee, Import Bill, Term Bills, Bills of purchase, Negotiation.</li> 	<li>Experience with performing Impact Assessment / Regression Impact for Trade Finance applications.</li> 	<li>Analytical skills to solve data mapping requirements for data ingestion from Structured &amp; Unstructured data.</li> 	<li>Understanding on Object Oriented / Functional Programming / Data Modelling concepts.</li> 	<li>Understanding on Teradata FSLDM, along with Trade Finance products is desirable.</li> 	<li>Knowledge of database structures, theories, principles, and practices are desirable.</li> 	<li>Work in a fast paced environment, able to perform as an Individual Contributor and also able to manage his/her team delivery.</li> 	<li>Effectively deal with multiple deadline-driven, customer-sensitive projects and tasks</li> 	<li>Able to handle Clients and manage internal &amp; external stakeholders.</li> 	<li>Communicate clearly and concisely both in verbal and in writing.</li> 	<li>Strong understanding to concepts of SDLC methodologies like Waterfall &amp; Agile.</li> </ul>"
0,"IT Security Analyst (VPN, Firewall, Proxy, Data Leakage)",TECHCOM SOLUTIONS & CONSULTANCY PTE. LTD.,Islandwide,Middle Management,Banking and Finance ...,Contract ...,"$5,500","$7,000",Monthly,https://www.mycareersfuture.sg/job/security-analyst-techcom-solutions-consultancy-76fc74a944b39a566124745658c1220a,"<ul> 	<li>Hands on experience on Firewall, VPN, Proxy (forward, Reverse, Transparent and Web 2.0), SSL interception/MITM &amp; Data leakage space, Security Analytics.Implementation, customization, coding, Support.</li> 	<li>Engineer has accountability for researching, designing, engineering, implementing, supporting and troubleshooting network security solutions financial domain.</li> 	<li>The network security SME possesses the technical hand on capability and experience to assess current network security posture, document current/future state, provide roadmap/gap analysis for implementation activities.</li> 	<li>Network Firewall Engineer support also include, but are not limited to enterprise project deliverables, project tasks, project documentation, build, installation, performance monitoring, optimization, troubleshooting and maintenance of a variety of systems of the network.</li> 	<li>Develop content for a complex and growing Proxy infrastructure. This includes use cases, dashboards, reports, rules, filters, trends.</li> 	<li>Work to deliver services on client engagements and expand services for current customers.</li> </ul>","<ul>  <li>Minimum of 5 years of experience on Firewall, VPN and Proxy (eg: Bluecoat)</li>  <li>Good knowledge on Unix, Windows.</li>  <li>Knowledge of web and application servers (Apache/IIS/Tomcat/Websphere)</li>  <li>Strong reliability and high quality and security awareness.</li>  <li>Manage front-line technical support to end users on various technical issues and problems regarding their Access.</li>  <li>Perform SME role and work on complex technical issues in Firewall, VPN and Proxy.</li>  <li>Managing knowledge articles in the knowledge management repository.</li>  <li>Coordinate with different internal teams and/or external parties to conduct and manage special events such as BCP tests, infrastructure change weekends, data Centre maintenance, application upgrade or installation.</li>  <li>Familiarity with Service Management tools (eg: Service Now/BMC remedy) for the logging and tracking of incidents, and service requests.</li>  <li>Good understanding of Financial domain and Security IT.</li>  <li>Understanding of risks and controls.</li>  <li>Knowledge of ITIL incident and problem management.</li>  <li>Escalation and support management.</li> </ul>"
