,job_title,job_company,job_location,job_seniority,job_category,job_employment_type,job_salary_range_from,job_salary_range_to,job_salary_type,job_details_url,job_description,job_requirements
0,"Scientist (Power System Analytics), EPGC",A*STAR RESEARCH ENTITIES,West,Non-executive,Sciences / Laboratory / R&D,Contract ...,"$5,900","$11,800",Monthly,https://www.mycareersfuture.sg/job/scientist-epgc-astar-research-entities-dab1aa0d260011aa7efef1166be1e0bb,"<ul>   <li>Specialize in applying data analytics, machine learning, and data mining technology in power system analysis.</li>   <li>Specialize in data collection, database technology and data modeling system/product design.</li>   <li>Specialize in power system economics and planning, optimization and economic dispatch.</li>   <li>Familiar with PLC application, power grid communication technology.</li>   <li>Familiar with actual grid operation and energy management/SCADA system.</li>   <li>Familiar with standard/codes or practical experience in modern power system such as Microgrid and smartgrid, energy storage system would be advantageous.</li>   <li>To support industry projects, research grant call projects and internal projects in power system related topics.</li>   <li>To prepare detailed technical analysis reports as required.</li>   <li>To work with team member for experimentation of research work at EPGC facility.</li>  </ul>","<ul>   <li>PhD in Power System operation and analysis or Computer Science</li>   <li>3-4 years' research and/or industry experience in big data analytics related to power system operation and optimization</li>   <li>Knowledge in power market operation and optimization</li>   <li>Knowledgeable in database language and design e.g. MS SQL database.</li>   <li>Proficiency in data analytics programming language e.g. R, C/C++, Python, MATLAB.</li>   <li>Effective learning, communication and project management skills</li>   <li>Ability to work with a team</li>   <li>Willing to work in Jurong Island. (Shuttle-buses are available at various locations)</li>  </ul><p>The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.</p>"
0,Senior Data Scientist,ORICA INTERNATIONAL PTE. LTD.,Central,Middle Management,Information Technology,Permanent,"$150,000","$170,000",Annually,https://www.mycareersfuture.sg/job/senior-data-scientist-orica-international-a06ad1740d1a79cf27dd99e1f9ee7ab4,"<p>As part of a cross functional team which uses an analytic agile methodology to develop capabilities based on business needs, you will unravel complex problems, discover insights and identify opportunities using statistical, algorithmic, mining and visualisation techniques. In addition to advanced analytic skills, this role is also proficient in integrating and preparing large, varied datasets, architecting specialised database and computing environments, and communicating results.</p><p>Based on your expertise of statistical knowledge, you will lead discovery processes with stakeholders to identify business requirements and the expected outcome, models and frames business scenarios that are meaningful and which impact on critical business processes and decisions. Critical to this position is the ability to come up with solutions to loosely defined business problems by leveraging pattern detection over potentially large datasets.</p><p>You will work closely with clients, data stewards, other data scientists, project/program managers, and other IT teams to turn data into critical information and knowledge that can be used to make sound organisational decisions. Other responsibilities include proposing innovative ways to look at problems by using data mining approaches; validate findings using an experimental and iterative approach; present back the findings to the business by exposing their assumptions and validation work in a way that can be easily understood by their business counterparts; product solution and delivery; actively participating in Design Solution thinking; contribute to vision, roadmap, and content presentations and ensuring solution provided meets the customer needs.</p>","<ul> 	<li>Degree in Information Systems, Product Management or Human Computer Interaction disciplines; or Three-year degree in Computer Interaction disciplines or related field.</li> 	<li>Experienced in quantitative and qualitative research and analytics</li> 	<li>Solid knowledge of statistical techniques</li> 	<li>Strong programming skills (such as Hadoop MapReduce or other big data frameworks, Java), statistical modelling (like SAS or R)</li> 	<li>Experience using machine learning algorithms</li> 	<li>High proficiency in the use of statistical packages</li> 	<li>Proficiency in statistical analysis, quantitative analytics, forecasting/predictive analytics, multivariate testing, and optimization algorithms</li> 	<li>Strong communication and interpersonal skills</li> </ul>"
0,Data Engineer,Company Undisclosed,Central,Executive ...,Banking and Finance,Permanent,"$6,500","$13,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-e55a0043c39dedc544e29f9c2dc4ba5c,"<p>Position Purpose</p><p>The APAC GM &amp; ALMT IT TP Engineering group runs Trade Processing and Regulatory Projects for Global Market and ALMT business and operations.</p><p> </p><p><strong>Responsibilities</strong></p><ul> 	<li>Partner with senior business sponsors, platform supervision, compliance, and business management to enhance and augment the holistic supervisory and surveillance platform</li> 	<li>Investigate and analyze data on the surveillance platform as key input to enhance existing data strategy on multi-vector analysis using various natural language processing and machine learning techniques</li> 	<li>Primary focus is to investigate and analyze available structured and un-structured information, apply data mining techniques, perform statistical analysis, and provide methods (algorithmic and technical) to create actionable alerts and reduce false-positives</li> 	<li>Develop and enhance software solutions to meet business requirements</li> 	<li>Gather and document technical requirements and specifications</li> 	<li>Work with the project PM and BA’s on project planning and deliverable</li> 	<li>Work on multiple tasks and respect aggressive schedule</li> 	<li>Work in a fast paced environment.</li> </ul>","<p><strong>Technical and Behavioral Competencies / Specific Qualifications (if required)</strong></p><ul>  <li><strong>Technical Competencies</strong></li> </ul><ul>  <li>Implementation experience with of Big Data technologies including large data stores and Machine Learning</li>  <li>Knowledge of various Statistical Analysis, Probabilistic Analysis and Data Visualization techniques preferred</li>  <li>Advanced knowledge of SQL and/or NoSQL systems</li>  <li>Basic understanding of project lifecycle stages</li> </ul><p> </p><p><strong>Behavioral Competencies</strong></p><ul>  <li>Ability to manage conflicting requests on time in a continually fast moving environment and operating in a global team</li>  <li>Must be a self-starter with attention to detail and strong communications (written and oral) skills</li> </ul><p> </p><p><strong><u>Preferred qualifications: </u></strong></p><ul>  <li>Experience with Front Office traders, IT support and Operation teams in a Capital Markets domain.</li>  <li>Knowledge of JAVA, J2EE, JavaScript, JSON, Perl, SQL, and PL/SQL would be a plus</li>  <li>Experience with machine learning, natural language processing, AI, or robotics is a plus</li> </ul><p> </p><p><strong><u>Qualifications and Experience</u></strong></p><ul>  <li>Master’s degree in engineering, math, statistics, physics or other technical field</li> </ul><p> </p>"
0,Sr  /  Design Engineer (Software),JABIL CIRCUIT (SINGAPORE) PTE. LTD.,East,Executive,Engineering ...,Permanent ...,"$3,000","$5,500",Monthly,https://www.mycareersfuture.sg/job/sr-design-engineer-jabil-circuit-720382db864e3a29b0421f75a884e022,"<p><strong>SUMMARY</strong></p><p>The Design Engineer (Software) is responsible for understanding of test processes and the underlying systems and data structures. The ideal candidate is adept at using this knowledge and large data to carry out data analysis, trending, forecasting and reporting, data mining and predictive analytics and in doing so provide meaningful management information to be used in the day to day decision making process. We are looking for candidate with strong experience using a variety of data mining/ data analysis methods, using a variety of data tools, building and implementing models, using /creating algorithms and creating/running simulations.</p><p> </p><p><strong>ESSENTIAL DUTIES AND RESPONSIBILITIES</strong></p><p>• Responsible for design, develop, test and implement reports and dashboards that utilize the underlying data store(s)/ data warehouse(s)/ data mart(s).</p><p>o Responsible for data gathering and development of database which include design, develop, test, implement and maintain new and existing databases.</p><p>o Participate in analysis activities to gather required reporting and dashboard requirements.</p><p>o Translate requirements into specifications that will be used to implement the required reports and dashboards, created from potentially multiple data sources.</p><p>o Provide support as required to ensure the availability and performance of developed reports and dashboards for both external and internal users.</p><p>o Developing predictive model to drive optimization and improvement of processes and resources.</p><p>o Assess the effectiveness and accuracy of data sources and data gathering techniques.</p><p>o Continuously improve the quality, accuracy, integrity and value of the data by giving input into the optimizing of data structures and possible integration of data from a variety of diverse systems that exist within the organization.</p><p>o Conduct big-data analysis to enable predictive forecasting of machine ‘s component failure</p><p>o Provide technical assistance and cross training to other team members.</p><p>o Must be able to perform duties with moderate to low supervision.</p><p> </p><p>• Interacting with teams</p><p>o Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive solutions.</p><p>o Able to work effectively within different cross-functional teams within the organization.</p><p> </p><p>• Traveling and onsite support</p><p>o Able to do frequent business travel within Asia during project pilot build.</p>","<p><strong>MINIMUM REQUIREMENTS</strong></p><p>• Bachelor Degree/Msc in Computer Science or other relevant discipline or equivalent combination of education and experience.</p><p>• 3-5 years of working experience developing and implementing enterprise-scale reports and dashboards.</p><p>• Extensive experience with data/ database/ data warehouse implementations.</p><p>• Knowledge of logical and physical data modeling concepts. Big-data analytics and prediction algorithm and methods.</p><p>• Understanding of data integration issues (validation and cleaning), familiarity with complex data and structures</p><p>• Requires strong analytical, conceptual and problem-solving abilities.</p><p>• Ability to manage multiple priorities, assess and adjust quickly to changing priorities.</p><p>• Possess software coding experience. C++, Python, Java, R, linux and script programming skill.</p><p> </p><p><strong>COMMUNICATION AND LANGUAGE SKILLS -- Oral &amp; Written</strong></p><p>• Converse, read and write fluently in English. Converse and read in Mandarin is required as this role will need to interact with counterpart/vendors in China.</p><p>• Ability to work both individually and as part of a team</p><p>• Excellent interpersonal (verbal and written) communication skills with ability to communicate clearly to cross-functional team within organization or external customer/vendors.</p><p>• Response professionally/Technically to common inquiries from customers.</p><p>• Effectively present information to internal teams and management and is a good team player.</p><p>• Excellent time management skills with the ability to contribute to multiple concurrent projects</p>"
0,"Senior Software Engineer, Search Language Processing - Apple Media Products",APPLE SOUTH ASIA PTE. LTD.,South,Senior Executive,Information Technology,Permanent,"$8,000","$12,000",Monthly,https://www.mycareersfuture.sg/job/senior-software-engineer-search-language-processing-apple-media-products-apple-south-asia-f7b2a5f78c1a40ea712b43cff00f0d65,"<p>Engineer in Singapore. Innovate at Apple. Our engineers have created some tough acts to follow, and they continue to lead us to innovative breakthroughs. Because they’re driven not by what would be easy, but by what would be amazing. Team We’re a diverse collective of thinkers and doers, continually reimagining what’s possible to help us all find what we love in new ways. The AMP Search team powers search for iTunes, App Store, Apple Music, Apple TV, Podcasts, Books and more on iOS, macOS, tvOS and watchOS. As a member of the Apple Media Products Search team you will be working on various components of the Search platform - search ranking, search query interpretation, language models, index data modelling and pipelines. Responsibilities will include design, development and maintenance of core search components that serve customers worldwide. You will also be responsible for bringing the latest in search and discovery ideas to production at a large scale. If you want to craft new ways for customers to discover content in a rapidly growing catalog on the Apple ecosystem of devices and platforms, this is the place to be. The Apple Media Products Search Team is looking for extraordinary engineers to help build next-generation search features for Apple's ground breaking devices and platforms.  We are a key part of the Apple ecosystem, supporting all of users. We operate globally in languages around the world.  We strive to provide the best search experience for our customers.</p><p>You will:</p><ul>   <li>Have a major impact on the way people search &amp; discover Apple Media content on Apple devices worldwide.</li>   <li>Be part of a team with strong expertise in software engineering, information retrieval, language processing, data mining, machine learning, scalable systems, and parallel processing (Hadoop, Scala, Spark).</li>   <li>Be responsible for improving search recall and precision.</li>   <li>Use big data technology to evaluate and prioritize content discovery features.</li>   <li>Conduct AB Tests to ensure we objectively measure improvements. Ensure successful deployment of features, code, data, and models in production.</li>   <li>Work in collaboration with other world-class engineers, researchers, and statisticians to ensure the features and models are functioning at or above expected performance levels.</li>   <li>Work on Natural Language Processing (NLP), Tokenization, Stemming, Lemmatization, and Synonym mining Improve Search Recall, Text Indexing and Query Rewrites Design &amp; Implement solutions for automated unit and integration tests that enable continuous integration and delivery Support search - On all devices (macOS, iOS, tvOS, watchOS, Siri/HomePod) - Across media products (App Store, iTunes, Music, Video, Books, Podcasts) - Globally in languages from Arabic to Russian and everything in between</li>  </ul>","<ul>   <li>Bachelors in Computer Science or related discipline, Masters or PhD preferred.</li>   <li>5+ years of relevant industry experience</li>   <li>Experience with Search, Natural Language Processing, or Machine Learning experience</li>   <li>Experience building big data pipelines with Hadoop, Java, Scala, and Spark Passion.</li>   <li>Our customers love what we do at Apple and we want the same from our engineers</li>   <li>Preferred Skills Deep understanding of the search and information retrieval fundamentals including indexing, query understanding, retrieval and ranking</li>   <li>Experience building search solutions with Lucent / Solr / Elasticsearch or related search technologies Familiarity with A/B experimentation and data/metric-driven product development</li>  </ul>"
0,"Senior Software Engineer, Search Language Processing - Apple Media Products",APPLE SOUTH ASIA PTE. LTD.,South,Senior Executive,Information Technology,Permanent,"$8,000","$12,000",Monthly,https://www.mycareersfuture.sg/job/senior-software-engineer-search-language-processing-apple-media-products-apple-south-asia-a5e670f4f5bfa18950e54ce9c84a52b9,"<p>Engineer in Singapore. Innovate at Apple. Our engineers have created some tough acts to follow, and they continue to lead us to innovative breakthroughs. Because they’re driven not by what would be easy, but by what would be amazing. Team We’re a diverse collective of thinkers and doers, continually reimagining what’s possible to help us all find what we love in new ways. The AMP Search team powers search for iTunes, App Store, Apple Music, Apple TV, Podcasts, Books and more on iOS, macOS, tvOS and watchOS. As a member of the Apple Media Products Search team you will be working on various components of the Search platform - search ranking, search query interpretation, language models, index data modelling and pipelines. Responsibilities will include design, development and maintenance of core search components that serve customers worldwide. You will also be responsible for bringing the latest in search and discovery ideas to production at a large scale. If you want to craft new ways for customers to discover content in a rapidly growing catalog on the Apple ecosystem of devices and platforms, this is the place to be. The Apple Media Products Search Team is looking for extraordinary engineers to help build next-generation search features for Apple's ground breaking devices and platforms.  We are a key part of the Apple ecosystem, supporting all of users. We operate globally in languages around the world.  We strive to provide the best search experience for our customers.</p><p>You will:</p><ul>   <li>Have a major impact on the way people search &amp; discover Apple Media content on Apple devices worldwide.</li>   <li>Be part of a team with strong expertise in software engineering, information retrieval, language processing, data mining, machine learning, scalable systems, and parallel processing (Hadoop, Scala, Spark).</li>   <li>Be responsible for improving search recall and precision.</li>   <li>Use big data technology to evaluate and prioritize content discovery features.</li>   <li>Conduct AB Tests to ensure we objectively measure improvements. Ensure successful deployment of features, code, data, and models in production.</li>   <li>Work in collaboration with other world-class engineers, researchers, and statisticians to ensure the features and models are functioning at or above expected performance levels.</li>   <li>Work on Natural Language Processing (NLP), Tokenization, Stemming, Lemmatization, and Synonym mining Improve Search Recall, Text Indexing and Query Rewrites Design &amp; Implement solutions for automated unit and integration tests that enable continuous integration and delivery Support search - On all devices (macOS, iOS, tvOS, watchOS, Siri/HomePod) - Across media products (App Store, iTunes, Music, Video, Books, Podcasts) - Globally in languages from Arabic to Russian and everything in between</li>  </ul>","<ul>   <li>Bachelors in Computer Science or related discipline, Masters or PhD preferred.</li>   <li>5+ years of relevant industry experience</li>   <li>Experience with Search, Natural Language Processing, or Machine Learning experience</li>   <li>Experience building big data pipelines with Hadoop, Java, Scala, and Spark Passion.</li>   <li>Our customers love what we do at Apple and we want the same from our engineers</li>   <li>Preferred Skills Deep understanding of the search and information retrieval fundamentals including indexing, query understanding, retrieval and ranking</li>   <li>Experience building search solutions with Lucent / Solr / Elasticsearch or related search technologies Familiarity with A/B experimentation and data/metric-driven product development</li>  </ul>"
0,"Senior Software Engineer, Search Language Processing - Apple Media Products",APPLE SOUTH ASIA PTE. LTD.,South,Senior Executive,Information Technology,Permanent,"$8,000","$12,000",Monthly,https://www.mycareersfuture.sg/job/senior-software-engineer-search-language-processing-apple-media-products-apple-south-asia-d69d6781cc04500533e4bedcd5f15026,"<p>Engineer in Singapore. Innovate at Apple. Our engineers have created some tough acts to follow, and they continue to lead us to innovative breakthroughs. Because they’re driven not by what would be easy, but by what would be amazing. Team We’re a diverse collective of thinkers and doers, continually reimagining what’s possible to help us all find what we love in new ways. The AMP Search team powers search for iTunes, App Store, Apple Music, Apple TV, Podcasts, Books and more on iOS, macOS, tvOS and watchOS. As a member of the Apple Media Products Search team you will be working on various components of the Search platform - search ranking, search query interpretation, language models, index data modelling and pipelines. Responsibilities will include design, development and maintenance of core search components that serve customers worldwide. You will also be responsible for bringing the latest in search and discovery ideas to production at a large scale. If you want to craft new ways for customers to discover content in a rapidly growing catalog on the Apple ecosystem of devices and platforms, this is the place to be. The Apple Media Products Search Team is looking for extraordinary engineers to help build next-generation search features for Apple's ground breaking devices and platforms.  We are a key part of the Apple ecosystem, supporting all of users. We operate globally in languages around the world.  We strive to provide the best search experience for our customers.</p><p>You will:</p><ul>   <li>Have a major impact on the way people search &amp; discover Apple Media content on Apple devices worldwide.</li>   <li>Be part of a team with strong expertise in software engineering, information retrieval, language processing, data mining, machine learning, scalable systems, and parallel processing (Hadoop, Scala, Spark).</li>   <li>Be responsible for improving search recall and precision.</li>   <li>Use big data technology to evaluate and prioritize content discovery features.</li>   <li>Conduct AB Tests to ensure we objectively measure improvements. Ensure successful deployment of features, code, data, and models in production.</li>   <li>Work in collaboration with other world-class engineers, researchers, and statisticians to ensure the features and models are functioning at or above expected performance levels.</li>   <li>Work on Natural Language Processing (NLP), Tokenization, Stemming, Lemmatization, and Synonym mining Improve Search Recall, Text Indexing and Query Rewrites Design &amp; Implement solutions for automated unit and integration tests that enable continuous integration and delivery Support search - On all devices (macOS, iOS, tvOS, watchOS, Siri/HomePod) - Across media products (App Store, iTunes, Music, Video, Books, Podcasts) - Globally in languages from Arabic to Russian and everything in between</li>  </ul>","<ul>   <li>Bachelors in Computer Science or related discipline, Masters or PhD preferred.</li>   <li>5+ years of relevant industry experience</li>   <li>Experience with Search, Natural Language Processing, or Machine Learning experience</li>   <li>Experience building big data pipelines with Hadoop, Java, Scala, and Spark Passion.</li>   <li>Our customers love what we do at Apple and we want the same from our engineers</li>   <li>Preferred Skills Deep understanding of the search and information retrieval fundamentals including indexing, query understanding, retrieval and ranking</li>   <li>Experience building search solutions with Lucent / Solr / Elasticsearch or related search technologies Familiarity with A/B experimentation and data/metric-driven product development</li>  </ul>"
0,"VP / AVP, Senior Data Engineer, Group Consumer Banking and Big Data Analytics Technology (180003L2)",DBS BANK LTD.,East,Middle Management ...,Banking and Finance,Permanent ...,"$7,000","$14,000",Monthly,https://www.mycareersfuture.sg/job/vp-avp-senior-data-engineer-group-consumer-banking-big-data-analytics-technology-dbs-bank-cfdc4e6ed7bf3ad8ab8448da8e2e552e,"<ul>   <li>Design and implement key components for highly scalable, distributed data collection and analysis system built for handling petabytes of data in the cloud. </li>   <li>Work with architects from other divisions contributing to this analytics system and mentor team members on best practices in backend infrastructure and distributed computing topics. </li>   <li>Analyze source data and data flows, working with structured and unstructured data.</li>   <li>Manipulate high-volume, high-dimensionality data from varying sources to highlight patterns, anomalies, relationships and trends</li>   <li>Analyze and visualize diverse sources of data, interpret results in the business context and report results clearly and concisely.</li>   <li>Apply data mining, NLP, and machine learning (both supervised and unsupervised) to improve relevance and personalization algorithms.</li>   <li>Work side-by-side with product managers, software engineers, and designers in designing experiments and minimum viable products.</li>   <li>Build and optimize classifiers using machine learning techniques and enhance data collection procedures that is relevant for building analytic systems.</li>   <li>Discover data sources, get access to them, import them, clean them up, and make them “model-ready”. You need to be willing and able to do your own ETL.</li>   <li>Create and refine features from the underlying data. You’ll enjoy developing just enough subject matter expertise to have an intuition about what features might make your model perform better, and then you’ll lather, rinse and repeat.</li>   <li>Run regular A/B tests, gather data, perform statistical analysis, draw conclusions on the impact of your optimizations and communicate results to peers and leaders.</li>  </ul>","<ul>   <li>Experience in big data and machine learning</li>   <li>The ability to work with loosely defined requirements and exercise your analytical skills to clarify questions, share your approach and build/test elegant solutions in weekly sprint/release cycles.</li>   <li>Development experience in Java/Scala and pride in producing clean, maintainable code</li>   <li>Practical experience in clustering high dimensionality data using a variety of approaches</li>   <li>Real world experience in solving business problems by deploying one or more machine learning techniques</li>   <li>Experience creating pipelines to analyze data, extracted features and updated models in production.</li>   <li>Independence and self-reliance while being a pro-active team player with excellent communication skills.</li>   <li>Hands-on development with key technologies including Scala, Spark, and other relevant distributed computing languages, frameworks, and libraries. </li>   <li>Experience with distributed databases, such as Cassandra, and the key issues affecting their performance and reliability. </li>   <li>Experience using high-throughput, distributed message queueing systems such as Kafka.</li>   <li>Familiarity with operational technologies, including Docker (required), Chef, Puppet, ZooKeeper, Terraform, and Ansible (preferred). </li>   <li>An ability to periodically deploy systems to on-prem environments. </li>   <li>Mastery of key development tools such as GIT, and familiarity with collaboration tools such as Jira and Confluence or similar tools. </li>   <li>Experience with Teradata SQL, Exadata SQL, T-SQL</li>   <li>Strong experience in graph and stream processing</li>   <li>Experience in migrating SQL from traditional RDBMS to Spark and BigData technologies</li>   <li>Experience in building language parsers using ANTLR, query optimizers and automatic code generation</li>   <li>In-depth knowledge of database internals and Spark SQL Catalyst engine</li>  </ul>"
0,SIS Faculty - Assistant Professor of Information Systems (Tenure Track) IS,SINGAPORE MANAGEMENT UNIVERSITY,East,Professional,Education and Training,Full Time,"$9,000","$15,000",Monthly,https://www.mycareersfuture.sg/job/sis-faculty-assistant-professor-information-systems-singapore-management-university-70107bf08e289b0341571a4afa3d7056,"<p>OUR CORE RESEARCH AREAS</p><p>- Artificial Intelligence &amp; Cognitive Systems, including machine intelligence; intelligent assistants; intelligence augmentation; data mining and machine learning; deep learning; learning and adaptation; cognitive computing and decision support systems; human-in-the-loop artificial intelligence.<br> - Data Science &amp; Engineering, including natural language processing; data visualization and analytics; social sensing and activation.<br> - Intelligent Systems &amp; Optimization, including large-scale optimization and meta-heuristics; economic paradigms (game theory, mechanism design, electronic markets); agent modeling and simulation; agent planning, scheduling and decision support; agent learning and adaptation.<br> - Cybersecurity, including decentralized/distributed trusted systems; biometrics; computer forensics; data, media content and related applications security and privacy; software and system security; information security and usability; information security economics and risk analysis, modeling &amp; metrics.<br> - Cyber-Physical Systems, including sensing &amp; sensor information processing; IoT and embedded systems; mobile and pervasive systems; context-aware computing platforms.<br> - Software Systems, including IoT and mobile OS; low-power OS; cloud engineering; autonomous systems; multi-robot collaboration.<br> - Human-computer interaction, including human-robot interaction; remote collaboration and wearable interfaces.</p><p>- Multimedia, including computer vision; multimedia search; augmented reality; virtual reality; image/video processing; audio/speech processing.<br> - Information Systems Management, including economics of IT and management science; empirical methods, econometrics, and policy analytics; sharing economy and IT platforms; digitalization and process transformation; fintech; marketing and healthcare IT; information security, technology innovation and IT impacts; interdisciplinary studies across the core areas.<br>  <br> OUR INTEGRATIVE RESEARCH DOMAINS<br> - Urban Systems &amp; Operations<br> - Active Citizenry &amp; Communities<br> - Safety &amp; Security<br> - Health &amp; Wellness<br> - Technology for Learning &amp; Pedagogy<br>  <br> While we encourage and nurture applied research addressing real-world problems, we simultaneously cultivate and value big ideas, and research that is intellectually deep and thought provoking. Our faculty thus target their academic output primarily in the most-selective, academically prestigious venues. We want our faculty striving to create research outputs that advance thinking and scholarship in the core research areas, and also seeking real-world impact in the integrative research domains in “the world of business”.</p><p>We offer extremely attractive salary and benefits that are usually superior to international competitive benchmarks.</p>","<p>We are continuously on the lookout for outstanding faculty candidates at all levels:<br>  <br> - Fresh Ph.D.s<br> - Postdocs looking for a faculty position<br> - Ph.D.s who are currently in industry but want to return to faculty and research work<br> - Mid-career or senior faculty<br>  <br> We strategically hire to build critical mass and innovative capability in our core research areas and integrative reseIS)arch domains. Moreover, we are launching a new Computer Science degree from 2019, and are thus looking to significantly augment our faculty expertise in several key new areas.<br>  <br> Interested candidates are invited to submit a cover letter, curriculum vitae, research and teaching statements, contact details of 3 referees, and three samples of published work to:<br>  <br> SMU Faculty Recruitment System<br> Please check ""School of Information Systems"" under Organisation.<br> https://smucareers.taleo.net/careersection/smu_ext_ft/jobsearch.ftl </p>"
0,"VP  /  AVP, Data Scientist, Investment and Trading Technology, Technology and Operations  (180002YF)",DBS BANK LTD.,East,Manager,Banking and Finance,Permanent ...,"$6,500","$13,000",Monthly,https://www.mycareersfuture.sg/job/vp-avp-data-scientist-investment-trading-technology-technology-operations-dbs-bank-1a1bf187dc76f9769f2c9d0d874ba044,"<ul>   <li>Selecting features, building and optimizing classifiers using machine learning techniques</li>   <li>Data mining using state-of-the-art methods</li>   <li>Enhancing data collection procedures to include information that is relevant for building analytic systems</li>   <li>Processing, cleansing, and verifying the integrity of data used for analysis</li>   <li>Doing ad-hoc analysis and presenting results in a clear manner</li>  </ul>","<ul>   <li>Excellent understanding of machine learning techniques and algorithms; pattern recognition and predictive modeling skills to address business problems</li>   <li>Undertaking data collection, preprocessing and analysis of structured and unstructured data</li>   <li>Experience with common data science toolkits, such as R, Python. Experience with programming languages such as Java an asset. </li>   <li>Proficiency in using query languages such as SQL, Hive, Pig. Being able to use Spark is an added advantage</li>   <li>Experience with NoSQL databases, such as MongoDB, Cassandra, HBase </li>   <li>Communicate results and ideas to key decision makers </li>   <li>Experience with data visualization tools such as Qlik or any other open source visualization tools.</li>   <li>Good to have treasury &amp; market product knowledge as well</li>   <li>Good applied statistics skills such as distributions, statistical testing, regression, etc.</li>   <li>Good scripting and programming skills </li>   <li>Data-oriented personality with problem-solving aptitude</li>   <li>Master’s Degree in Computer Science, Statistics, Applied Math or related field</li>   <li>4+ years of hands-on analytics and / or model development.</li>  </ul>"
