,job_title,job_company,job_location,job_seniority,job_category,job_employment_type,job_salary_range_from,job_salary_range_to,job_salary_type,job_details_url,job_description,job_requirements
0,"Research Scientist (1-year contract),  Living Analytics Research Centre",SINGAPORE MANAGEMENT UNIVERSITY,East,Senior Management,Education and Training,Contract,"$4,000","$8,000",Monthly,https://www.mycareersfuture.sg/job/research-scientist-living-analytics-research-centre-singapore-management-university-4a0b98c01e7a8d77e65f8b8f4af1c75e,,
0,"Research Scientist (1-year contract),  Living Analytics Research Centre",SINGAPORE MANAGEMENT UNIVERSITY,East,Senior Management,Education and Training,Contract,"$4,000","$8,000",Monthly,https://www.mycareersfuture.sg/job/research-scientist-living-analytics-research-centre-singapore-management-university-cf6bae4a2dfe96df1e7109dbdb7ff657,,
0,"Research Scientist (2-year contract),  Living Analytics Research Centre",SINGAPORE MANAGEMENT UNIVERSITY,East,Senior Management,Education and Training,Contract,"$4,000","$8,000",Monthly,https://www.mycareersfuture.sg/job/research-scientist-living-analytics-research-centre-singapore-management-university-4cc6433e32bb8fd0792009c2bc15e061,,
0,"Research Fellow (2-year contract),  Living Analytics Research Centre",SINGAPORE MANAGEMENT UNIVERSITY,East,Senior Management,Education and Training,Contract,"$4,000","$8,000",Monthly,https://www.mycareersfuture.sg/job/research-fellow-living-analytics-research-centre-singapore-management-university-4b8898ea62fb84d555d2cba4e0e785f4,,
0,"Research Fellow (2-year contract),  Living Analytics Research Centre",SINGAPORE MANAGEMENT UNIVERSITY,East,Senior Management,Education and Training,Contract,"$4,000","$8,000",Monthly,https://www.mycareersfuture.sg/job/research-fellow-living-analytics-research-centre-singapore-management-university-b9f2a9bd1a6c85b2cf5f51b87b4a06e1,,
0,"Research Fellow (2-year contract),  Living Analytics Research Centre",SINGAPORE MANAGEMENT UNIVERSITY,East,Senior Management,Education and Training,Contract,"$4,000","$8,000",Monthly,https://www.mycareersfuture.sg/job/research-fellow-living-analytics-research-centre-singapore-management-university-57cb6f7bc4aaf76657cc31933271faf2,,
0,"Research Fellow (1-year contract), Living Analytics Research Centre",SINGAPORE MANAGEMENT UNIVERSITY,East,Senior Management,Education and Training,Contract,"$4,000","$8,000",Monthly,https://www.mycareersfuture.sg/job/research-fellow-living-analytics-research-centre-singapore-management-university-1700c9362ec866f265284154fd7eb9c0,,
0,"Research Fellow (1-year contract), Living Analytics Research Centre",SINGAPORE MANAGEMENT UNIVERSITY,East,Senior Management,Education and Training,Contract,"$4,000","$8,000",Monthly,https://www.mycareersfuture.sg/job/research-fellow-living-analytics-research-centre-singapore-management-university-6adabd55637d9f81f3b1d13d3cc4e91c,,
0,AI Architect-Solutions Lead,Company Undisclosed,Central,Professional,Information Technology,Full Time,"$7,000","$12,000",Monthly,https://www.mycareersfuture.sg/job/ai-architect-solutions-lead-25ff0d75bff79efa09e09757f7244173,,
0,Senior Data Analyst,TANGSPAC CONSULTING PTE LTD,Central,Senior Executive,Information Technology,Contract ...,"$7,500","$9,000",Monthly,https://www.mycareersfuture.sg/job/senior-data-analyst-tangspac-consulting-8c1de116702c01ba694c4169f833e7bc,,
0,"Scientist (Power System Analytics), EPGC",A*STAR RESEARCH ENTITIES,West,Non-executive,Sciences / Laboratory / R&D,Contract ...,"$5,900","$11,800",Monthly,https://www.mycareersfuture.sg/job/scientist-epgc-astar-research-entities-dab1aa0d260011aa7efef1166be1e0bb,,
0,Senior Data Scientist,ORICA INTERNATIONAL PTE. LTD.,Central,Middle Management,Information Technology,Permanent,"$150,000","$170,000",Annually,https://www.mycareersfuture.sg/job/senior-data-scientist-orica-international-a06ad1740d1a79cf27dd99e1f9ee7ab4,,
0,Data Engineer,Company Undisclosed,Central,Executive ...,Banking and Finance,Permanent,"$6,500","$13,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-e55a0043c39dedc544e29f9c2dc4ba5c,,
0,Sr  /  Design Engineer (Software),JABIL CIRCUIT (SINGAPORE) PTE. LTD.,East,Executive,Engineering ...,Permanent ...,"$3,000","$5,500",Monthly,https://www.mycareersfuture.sg/job/sr-design-engineer-jabil-circuit-720382db864e3a29b0421f75a884e022,,
0,"Senior Software Engineer, Search Language Processing - Apple Media Products",APPLE SOUTH ASIA PTE. LTD.,South,Senior Executive,Information Technology,Permanent,"$8,000","$12,000",Monthly,https://www.mycareersfuture.sg/job/senior-software-engineer-search-language-processing-apple-media-products-apple-south-asia-f7b2a5f78c1a40ea712b43cff00f0d65,,
