,job_title,job_company,job_location,job_seniority,job_category,job_employment_type,job_salary_range_from,job_salary_range_to,job_salary_type,job_details_url,job_description,job_requirements
0,Sr. Software engineer Data cap /  ICM,NIBAARA TECHNOLOGIES PTE. LTD.,Central,Professional,Information Technology,Full Time,"$5,000","$7,000",Monthly,https://www.mycareersfuture.sg/job/sr-software-engineer-data-cap-icm-nibaara-technologies-c6571e2705e86e011dc5788a421ba8f7,"<ul>   <li>Ensure the timely completion of the tasks assigned</li>   <li>Ensure to follow the Technology and Process Standards, set for the project</li>   <li>Produce high quality technical documentation</li>   <li>Develop Low Level Design</li>   <li>Undertake development tasks with minimal supervision, including programming and testing</li>   <li>To monitor progress and provide timely updates to Lead</li>   <li>On need basis should able to work as back up lead</li>   <li>Technical Design documents</li>   <li>Developed Programs with high quality and as per the planned schedule</li>   <li>Developed Programs with high quality, with process standards and as per the planned schedule</li>   <li>Unit Test Cases</li>   <li>Interacts with Technical Lead, BAs and testers for the project during the project lifecycle</li>   <li>Interacts with the Client managers, for status review meetings</li>  </ul>","<ul> 	<li>Hands on experience in designing and developing applications using Datacap 9.1.</li> 	<li>5-8 years of development experience using Java/J2EE related technologies</li> 	<li>Should possess good communication and problem solving skills</li> 	<li>Should have Aptitude and Attitude of learning and mastering new technologies and tools</li> 	<li>Working in client facing environment is a plus</li> 	<li>Working in Agile Methodology is a plus</li> 	<li>Working experience in Banking Domain is an added advantage</li> 	<li>Profound insight of dojo, navigator, VB script and Java script.</li> 	<li>Working experience with Relational Databases, PL/SQL. Experience in Oracle preferred.</li> 	<li>Experience in Datacap solution deployment.</li> 	<li>Object oriented analysis and design using common design patterns.</li> 	<li>Good to have experience in installation of Datacap.</li> 	<li>Good to have experience in designing and developing applications using Datacap 8.1, ASP.net and VB script.</li> 	<li>Good to have knowledge of OCR (optical character recognition)</li> </ul>"
0,Data cap /  ICM Engineer,NIBAARA TECHNOLOGIES PTE. LTD.,Central,Professional,Information Technology,Full Time,"$4,500","$6,000",Monthly,https://www.mycareersfuture.sg/job/data-cap-icm-engineer-nibaara-technologies-0d09301a6203fd87ee07e2051ebed23d,"<ul> 	<li>Hands on experience in designing and developing applications using Datacap 9.1.</li> 	<li>Profound insight of dojo, navigator, VB script and Java script.</li> 	<li>Working experience with Relational Databases, PL/SQL. Experience in Oracle preferred.</li> 	<li>Experience in Datacap solution deployment.</li> 	<li>Object oriented analysis and design using common design patterns.</li> 	<li>Good to have experience in designing and developing applications using Datacap 8.1, ASP.net and VB script.</li> 	<li>Good to have knowledge of OCR (optical character recognition)</li> 	<li>Technical Design documents</li> 	<li>Developed Programs with high quality and as per the planned schedule</li> 	<li>Developed Programs with high quality, with process standards and as per the planned schedule</li> 	<li>Unit Test Cases</li> </ul><p> </p>","<ul> 	<li>Atleast 2-4 years of development experience using Datacap 9.1, Java/J2EE related technologies</li> 	<li>Should possess good communication and problem solving skills</li> 	<li>Should have Aptitude and Attitude of learning and mastering new technologies and tools</li> 	<li>Working in client facing environment is a plus</li> 	<li>Working in Agile Methodology is a plus</li> 	<li>Working experience in Banking Domain is an added advantage</li> </ul>"
0,Data Engineer,Company Undisclosed,Central,Executive ...,Banking and Finance,Permanent,"$6,500","$13,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-e55a0043c39dedc544e29f9c2dc4ba5c,"<p>Position Purpose</p><p>The APAC GM &amp; ALMT IT TP Engineering group runs Trade Processing and Regulatory Projects for Global Market and ALMT business and operations.</p><p> </p><p><strong>Responsibilities</strong></p><ul> 	<li>Partner with senior business sponsors, platform supervision, compliance, and business management to enhance and augment the holistic supervisory and surveillance platform</li> 	<li>Investigate and analyze data on the surveillance platform as key input to enhance existing data strategy on multi-vector analysis using various natural language processing and machine learning techniques</li> 	<li>Primary focus is to investigate and analyze available structured and un-structured information, apply data mining techniques, perform statistical analysis, and provide methods (algorithmic and technical) to create actionable alerts and reduce false-positives</li> 	<li>Develop and enhance software solutions to meet business requirements</li> 	<li>Gather and document technical requirements and specifications</li> 	<li>Work with the project PM and BA’s on project planning and deliverable</li> 	<li>Work on multiple tasks and respect aggressive schedule</li> 	<li>Work in a fast paced environment.</li> </ul>","<p><strong>Technical and Behavioral Competencies / Specific Qualifications (if required)</strong></p><ul>  <li><strong>Technical Competencies</strong></li> </ul><ul>  <li>Implementation experience with of Big Data technologies including large data stores and Machine Learning</li>  <li>Knowledge of various Statistical Analysis, Probabilistic Analysis and Data Visualization techniques preferred</li>  <li>Advanced knowledge of SQL and/or NoSQL systems</li>  <li>Basic understanding of project lifecycle stages</li> </ul><p> </p><p><strong>Behavioral Competencies</strong></p><ul>  <li>Ability to manage conflicting requests on time in a continually fast moving environment and operating in a global team</li>  <li>Must be a self-starter with attention to detail and strong communications (written and oral) skills</li> </ul><p> </p><p><strong><u>Preferred qualifications: </u></strong></p><ul>  <li>Experience with Front Office traders, IT support and Operation teams in a Capital Markets domain.</li>  <li>Knowledge of JAVA, J2EE, JavaScript, JSON, Perl, SQL, and PL/SQL would be a plus</li>  <li>Experience with machine learning, natural language processing, AI, or robotics is a plus</li> </ul><p> </p><p><strong><u>Qualifications and Experience</u></strong></p><ul>  <li>Master’s degree in engineering, math, statistics, physics or other technical field</li> </ul><p> </p>"
0,"VP / AVP, Senior Data Engineer, Group Consumer Banking and Big Data Analytics Technology (180003L2)",DBS BANK LTD.,East,Middle Management ...,Banking and Finance,Permanent ...,"$7,000","$14,000",Monthly,https://www.mycareersfuture.sg/job/vp-avp-senior-data-engineer-group-consumer-banking-big-data-analytics-technology-dbs-bank-cfdc4e6ed7bf3ad8ab8448da8e2e552e,"<ul>   <li>Design and implement key components for highly scalable, distributed data collection and analysis system built for handling petabytes of data in the cloud. </li>   <li>Work with architects from other divisions contributing to this analytics system and mentor team members on best practices in backend infrastructure and distributed computing topics. </li>   <li>Analyze source data and data flows, working with structured and unstructured data.</li>   <li>Manipulate high-volume, high-dimensionality data from varying sources to highlight patterns, anomalies, relationships and trends</li>   <li>Analyze and visualize diverse sources of data, interpret results in the business context and report results clearly and concisely.</li>   <li>Apply data mining, NLP, and machine learning (both supervised and unsupervised) to improve relevance and personalization algorithms.</li>   <li>Work side-by-side with product managers, software engineers, and designers in designing experiments and minimum viable products.</li>   <li>Build and optimize classifiers using machine learning techniques and enhance data collection procedures that is relevant for building analytic systems.</li>   <li>Discover data sources, get access to them, import them, clean them up, and make them “model-ready”. You need to be willing and able to do your own ETL.</li>   <li>Create and refine features from the underlying data. You’ll enjoy developing just enough subject matter expertise to have an intuition about what features might make your model perform better, and then you’ll lather, rinse and repeat.</li>   <li>Run regular A/B tests, gather data, perform statistical analysis, draw conclusions on the impact of your optimizations and communicate results to peers and leaders.</li>  </ul>","<ul>   <li>Experience in big data and machine learning</li>   <li>The ability to work with loosely defined requirements and exercise your analytical skills to clarify questions, share your approach and build/test elegant solutions in weekly sprint/release cycles.</li>   <li>Development experience in Java/Scala and pride in producing clean, maintainable code</li>   <li>Practical experience in clustering high dimensionality data using a variety of approaches</li>   <li>Real world experience in solving business problems by deploying one or more machine learning techniques</li>   <li>Experience creating pipelines to analyze data, extracted features and updated models in production.</li>   <li>Independence and self-reliance while being a pro-active team player with excellent communication skills.</li>   <li>Hands-on development with key technologies including Scala, Spark, and other relevant distributed computing languages, frameworks, and libraries. </li>   <li>Experience with distributed databases, such as Cassandra, and the key issues affecting their performance and reliability. </li>   <li>Experience using high-throughput, distributed message queueing systems such as Kafka.</li>   <li>Familiarity with operational technologies, including Docker (required), Chef, Puppet, ZooKeeper, Terraform, and Ansible (preferred). </li>   <li>An ability to periodically deploy systems to on-prem environments. </li>   <li>Mastery of key development tools such as GIT, and familiarity with collaboration tools such as Jira and Confluence or similar tools. </li>   <li>Experience with Teradata SQL, Exadata SQL, T-SQL</li>   <li>Strong experience in graph and stream processing</li>   <li>Experience in migrating SQL from traditional RDBMS to Spark and BigData technologies</li>   <li>Experience in building language parsers using ANTLR, query optimizers and automatic code generation</li>   <li>In-depth knowledge of database internals and Spark SQL Catalyst engine</li>  </ul>"
0,Data Engineer,HYDROINFORMATICS INSTITUTE PTE. LTD.,West,Executive,Professional Services,Full Time,,,,https://www.mycareersfuture.sg/job/data-engineer-hydroinformatics-institute-40572a98b1b85dec99073a5c04ba22f9,"<p>Roles and Responsibilities:</p><ul>   <li>Implement data wrangling, preprocessing and preparation scripts for available raw environmental data</li>   <li>Implement statistical and machine learning algorithms for data analysis and knowledge derivation</li>   <li>Implement data visualization solutions for post processing and communication to internal and external teams</li>   <li>Create and maintain databases for different kinds of geo-spatiotemporal data</li>   <li>Monitor and manage data pipelines and test production codes</li>  </ul>","<ul>   <li>Masters or PhD in one of the mathematical sciences, or engineering</li>   <li>Programming capability the data science languages – Python, R, and preferably in core languages – C, C++</li>   <li>Understanding and ability to code algorithms related to multivariate statistics, spatio-temporal statistics and time series analysis, and common machine learning algorithms in clustering, dimensionality reduction, neural networks etc.</li>   <li>Familiarity with open source data visualization frameworks with D3.js is preferred</li>   <li>Understanding of database concepts and distributed processing systems and knowledge of one of the frameworks – Hadoop, Spark, NOSQL etc.</li>   <li>Excellent written and oral presentation skills</li>   <li>Interest in developing environmental solutions</li>  </ul>"
0,Cyber Security Big Data Engineer,Company Undisclosed,Central,Professional,Information Technology,Full Time,"$7,000","$12,000",Monthly,https://www.mycareersfuture.sg/job/cyber-security-big-data-engineer-2971a7516b523a443afe3df36cb834a9,"<p>Working in Cybersecurity takes pure passion for technology, speed, a constant desire to learn, and above all, vigilance in keeping every last asset safe and sound. You’ll be on the front lines of innovation, working with a highly-motivated team laser-focused on analyzing, designing, developing and delivering solutions built to stop adversaries and strengthen our operations. Your research and work will ensure stability, capacity and resiliency of our products in emerging industry trends. Working in tandem with your internal team, as well as technologists and innovators across our global network, your ability to identify threats, provide intelligent analysis and positive actions will stop adversaries and strengthen our products.</p><p> </p><p><strong>Responsibilities</strong></p><ol> 	<li>Focus on the development of tools and technologies that are at the core of the company’s capabilities to manage, monitor and hunt for cyber security incidents</li> 	<li>Architecture and development of large scale solution (big data) to be used in a very large production environment</li> 	<li>System, network and application troubleshooting</li> 	<li>Provide engineering support for cyber security products developed</li> </ol>","<ol> 	<li>Knowledge of Cybersecurity organization practices, operations, risk management processes, principles, architectural requirements, engineering and threats and vulnerabilities, including incident response methodologies</li> 	<li>Ability to collaborate with high-performing teams and individuals throughout taghe firm to accomplish common goals</li> 	<li>Proficiency in the use of skills tools, staying current with skills, participating in multiple forums</li> 	<li>Experience with Agile and can work with at least one of the common frameworks is highly desired</li> 	<li>Ability to analyze vulnerabilities, threats, designs, procedures and architectural design, producing reports and sharing intelligence</li> 	<li>Strong research, analytical and problem solving skills</li> 	<li>Independent problem-solving, highly motivated and self-directing</li> 	<li>Ability to write and debug administrative and reporting tools in some programming languages (Shell/Perl or Python, Scala/Java/R, C/C++, HTML5, or other experiences acceptable)</li> 	<li>Comfortable with most aspect of operating system administration such as tweaking, hardening and configuring services</li> 	<li>A solid understanding of Unix-based operating systems, including paging/swapping, IPC, drivers and filesystem (inode, partitions, etc.)</li> 	<li>Experience with host and network security (identity/password management, ACLs, file permissions and integrity)</li> 	<li>Strong interpersonal and communication skills; capable of writing documentation, training users in complex topics, making presentations to junior and very senior audience</li> 	<li>Ability to work under pressure in a fast-paced environment while remaining productive and professional; exercise patience and ability to multi task</li> </ol><p> </p><p><strong>Bonus Points</strong></p><ol> 	<li>Experience with hadoop ecosystem: Hadoop, Spark, Map/Reduce, Hive/Pig, Impala/Drill, etc.</li> 	<li>Experience with Data Science: MLlib, Scikit, h2o, TensorFlow, Pytorch, Caffe, Singa, etc.</li> 	<li>Experience with NoSQL stacks: Elasticsearch, MongoDB, etc.</li> 	<li>Experience with SIEM products: Qradar, Arcsight, Splunk, etc.</li> 	<li>Experience with messaging and data transport tools: Kafka, NiFi, LogStash, Syslog-ng, rsyslog, etc.</li> 	<li>Experience with Link Analysis tools and GraphDBs</li> 	<li>Experience with data visualization tools: Hue, Kibana, Qlikview, Tableau, etc.</li> 	<li>Knowledge in RIA: HTML5, node.js, bootstrap, angular, extJS, etc.</li> </ol>"
0,"VP / AVP, Machine Learning Engineer, Group Consumer Banking and Big Data Analytics Tech (180003YE)",DBS BANK LTD.,East,Middle Management ...,Banking and Finance,Permanent ...,"$7,000","$14,000",Monthly,https://www.mycareersfuture.sg/job/vp-avp-machine-learning-engineer-group-consumer-banking-big-data-analytics-tech-dbs-bank-7a573d994c956432080d35360d81d2ba,"<p><strong>Job Purpose </strong><br>  </p><p>Build and improve machine learning and analytics platform. Work with data scientists to create, optimize and productionize of machine learning models for various business units within the organization. Keep innovating and optimizing data and machine learning workflow to enable data-driven business activities at large scale. <br> <br> <br> <strong>Responsibilities </strong></p><ul>   <li>Build and improve machine learning and analytics platform.<br>      <ul>     <li>Apply cutting edge technologies and tool chain in big data and machine learning to build machine learning and analytics platform.</li>     <li>Keep innovating and optimizing the machine learning workflow, from data exploration, model experimentation/prototyping to production.</li>     <li>Provide engineering solution and framework to support machine learning and data-driven business activities at large scale.</li>     <li>Perform R&amp;D on new technologies and solutions to improve accessibility, scalability, efficiency and us abilities of machine learning and analytics platform.<br>  </li>    </ul> </li>   <li>Work with data scientists to build end-to-end machine learning and analytics solution to solve business challenges.<br>      <ul>     <li>Turn advanced machine learning models created by data scientists into end-to-end production grade system.</li>     <li>Build analytics platform components to support data collection, exploratory, and integration from various sources being data API, RDBMS, or big data platform.</li>     <li>Optimize efficiency of machine learning algorithm by applying state-of-the-art technologies, i.e. distributed computing, concurrent programming, or GPU parallel computing. <br>  </li>    </ul> </li>   <li>Establish, apply and maintain best practices and principles of machine learning engineering.<br>      <ul>     <li>Study and evaluate the state of the art technologies, tools, and frameworks of machine learning engineering.</li>     <li>Contribute in creation of blueprint and reference architecture for various machine learning use cases.</li>     <li>Support the organization in transformation towards a data driven business culture.</li>    </ul> </li>  </ul><p><br> <strong>Work Relationships</strong></p><ul>   <li>Internal <br>      <ul>     <li>Work closely with data scientists, business team, and project managers to provide machine learning and data-driven business solution. </li>     <li>Collaborate with other technology teams to build platform and framework to enable machine learning and data analytics activities at large scale<br>  </li>    </ul> </li>   <li>External <br>      <ul>     <li>Maintain engineering principles and best practices of machine learning framework and technologies.</li>    </ul> </li>  </ul>","<ul>   <li>PhD/Masters/Bachelors in Computer Science, Computer Engineering, Statistics, Applied Mathematics, or related disciplines. </li>   <li>Excellent understanding of software engineering principles and design patterns.</li>   <li>Excellent programming skills in either Python, Scala, or Java.</li>   <li>In-depth understanding of data science and machine learning technologies and methodologies.</li>   <li>Good working knowledge of high performance computing, parallel data processing, and big data stack, e.g. Spark and Hadoop/Yarn.</li>   <li>Experience to one or more commercial / open source data warehouses or data analytics systems, e.g. Teradata, is a big plus.</li>   <li>Experience to one or more NoSQL databases is a big plus.</li>   <li>Hands-on experience in Cloud platforms, e.g. AWS, or containerization/ virtualization platforms, e.g. Docker/Kubernetes, is a big plus.</li>   <li>Experience to any data science or machine learning platform, e.g. IBM Data Science Experience or Cloudera Data Science Workbench, is a big plus.</li>   <li>Exposure to mainframe system is a plus.</li>   <li>Passion about machine learning and data-driven intelligence system.</li>   <li>Excellent communication and presentation skills in English.</li>   <li>Team player, self-starter, ability to work on multiple projects in parallel is necessary.</li>   <li>2+ years of experience in machine learning system or data science research</li>   <li>5+ years of experience in software engineering or DevOps automation or data engineering</li>   <li>Experience working in multi-cultural environments</li>  </ul>"
0,Lead Data Engineer (Established FinTech Co / East),PEOPLE PROFILERS PTE. LTD.,Central,Senior Executive,Information Technology,Permanent,"$7,500","$10,000",Monthly,https://www.mycareersfuture.sg/job/lead-data-engineer-people-profilers-76998aeacd7bf851e1e784fe69b59afb,"<ul> 	<li><strong>Join a rapidly expanding and reputable company in FinTech industry </strong></li> 	<li><strong>Attractive remuneration package</strong></li> 	<li><strong>Great benefits (work-life balance, fun work environment, health insurance, dental plan)</strong></li> 	<li><strong>Junior &amp; senior positions available</strong></li> </ul><p> </p><p><strong>Position Overview:</strong></p><ul> 	<li>Support our team in developing cutting-edge solutions for the FinTech industry, keeping security standards in mind.</li> </ul><p> </p><p><strong>Responsibilities:</strong></p><ul> 	<li>Building robust batch and streaming data pipeline for production-grade data products/platforms (tools: Hadoop, Spark)</li> 	<li>Creating web services or APIs to connect analytical stacks to application layers</li> 	<li>Building and maintaining both cloud and on-premise data infrastructure</li> 	<li>Data cleaning, &amp; pre-processing (e.g. with images/text)</li> 	<li>Analyse requirements and deliver suitable solutions</li> 	<li>Write code according to best practices, and which meets security standards</li> 	<li>Keep up to date with new technologies</li> </ul>","<p><strong>Requirements:</strong></p><ul> 	<li>Preferably at least a Bachelor’s in a quantitative discipline (e.g. Computer Science, Engineering, or Mathematics)</li> 	<li>8 years related work experience, in building high scalability, low latency systems</li> 	<li><strong>Good knowledge &amp; hands-on skills in at least 2 of these: Python/Java/Scala</strong></li> 	<li><strong>Knowledge of machine learning techniques (e.g. Bayesian methods, regression techniques)</strong></li> 	<li><strong>Good knowledge of algorithm generation &amp; data structures.</strong></li> 	<li>Knowledge and interest in data mining, machine learning, natural language processing, or information retrieval</li> 	<li>Prior exposure to NoSQL databases (development). Familiar with SQL and database technologies.</li> 	<li>Preferably have knowledge/experience in cloud computing technologies (e.g. AWS/Azure)</li> 	<li>Familiar with Linux environment.</li> 	<li>Knowledge in use of <strong>Hadoop/Spark</strong></li> </ul><p>All Successful candidates can expect a very competitive remuneration package and a comprehensive range of benefits.<br> Interested applicants may wish to email your resume in a detailed Word format to <strong>ruth.gan@peopleprofilers.com. Please include last drawn and expected salaries and notice period.</strong><br> We regret that only shortlisted candidates will be notified.</p><p> </p><p>Gan Huiru  Recruitment Consultant<br> Tel: +65 6594 9897 Fax +65 6835 7890<br> Address: 100 Beach Road #33-06 Shaw Tower Singapore 189702<br> Email: ruth.gan@peopleprofilers.com<br> EA License Number: 02C4944<br> Registration Number: R1768917</p>"
0,Data Engineer,SANDBOX CONSULTING PTE. LTD.,Islandwide,Professional,Information Technology,Permanent ...,"$5,500","$6,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-sandbox-consulting-25654d51fa59534e3ac5d5e283830ea1,"<p> Design, build, launch and maintain efficient and reliable large-scale batch and real-time data<br> pipelines with data processing frameworks<br>  Integrate and collate data silos in a manner which is both scalable and compliant<br>  Collaborate with Project Manager, Frontend Developers, UX Designers and Data Analyst to<br> build scalable data-driven products<br>  Responsible for developing backend APIs &amp; working on databases to support the<br> applications<br>  Working in an Agile Environment that practices Continuous Integration and Delivery<br>  Working closely with fellow developers through pair programming and code review process</p>","<p> Experience and passion for data engineering in a big data environment using Cloud<br> platforms - AWS, GCP or Azure<br>  Experience with building production-grade data pipelines, ETL/ELT data integration<br>  Interested in being the bridge between engineering and analytics<br>  Knowledgeable about system design, data structure and algorithms<br>  Familiar with data modelling, data access, and data storage infrastructure like Data Mart,<br> Data Lake, and Data Warehouse.</p>"
0,Data Engineer,Company Undisclosed,Islandwide,Executive,Information Technology,Contract ...,"$5,000","$7,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-e7c30aceb1ee80d8f68c4ee5f5de9e98,"<ul> 	<li>Design, build, launch and maintain efficient and reliable large-scale batch and real-time data pipelines with data processing frameworks</li> 	<li>Integrate and collate data silos in a manner which is both scalable and compliant</li> 	<li>Collaborate with Project Manager, Frontend Developers, UX Designers and Data Analyst to build scalable data-driven products</li> 	<li>Responsible for developing backend APIs &amp; working on databases to support the applications</li> 	<li>Working in an Agile Environment that practices Continuous Integration and Delivery</li> 	<li>Working closely with fellow developers through pair programming and code review process</li> </ul>","<ul> 	<li>Experience and passion for data engineering in a big data environment using Cloud platforms - AWS, GCP or Azure</li> 	<li>Experience with building production-grade data pipelines, ETL/ELT data integration</li> 	<li>Interested in being the bridge between engineering and analytics</li> 	<li>Knowledgeable about system design, data structure and algorithms</li> 	<li>Familiar with data modelling, data access, and data storage infrastructure like Data Mart, Data Lake, and Data Warehouse.</li> </ul><p> </p>"
